"new_simple_name","taxon_id","kingdom","class","new_redlistTW"
"Crepidomanes latemarginale","t0026411","Plantae","Polypodiopsida","NLC"
"Crepidomanes makinoi","t0026412","Plantae","Polypodiopsida","NLC"
"Crepidomanes minutum proliferum","t0026413","Plantae","Polypodiopsida","NLC"
"Crepidomanes minutum","t0026414","Plantae","Polypodiopsida","NLC"
"Crepidomanes parvifolium","t0026415","Plantae","Polypodiopsida","NCR"
"Crepidomanes rupicola","t0026416","Plantae","Polypodiopsida","NNT"
"Crepidomanes thysanostomum","t0026417","Plantae","Polypodiopsida","NNT"
"Crepidomanes vitiense","t0026418","Plantae","Polypodiopsida","NVU"
"Didymoglossum beccarianum","t0026419","Plantae","Polypodiopsida","NLC"
"Vandenboschia auriculata","t0026423","Plantae","Polypodiopsida","NLC"
"Vandenboschia kalamocarpa","t0026424","Plantae","Polypodiopsida","NLC"
"Vandenboschia maxima","t0026425","Plantae","Polypodiopsida","NLC"
"Vandenboschia striata","t0026426","Plantae","Polypodiopsida","NLC"
"Dicranopteris linearis","t0026428","Plantae","Polypodiopsida","NLC"
"Dicranopteris subpectinata","t0026429","Plantae","Polypodiopsida","DD"
"Dicranopteris taiwanensis","t0026430","Plantae","Polypodiopsida","NLC"
"Dicranopteris tetraphylla","t0026431","Plantae","Polypodiopsida","NLC"
"Diplopterygium blotianum","t0026432","Plantae","Polypodiopsida","NLC"
"Diplopterygium chinensis","t0026433","Plantae","Polypodiopsida","NLC"
"Diplopterygium glaucum","t0026434","Plantae","Polypodiopsida","NLC"
"Diplopterygium laevissimum","t0026435","Plantae","Polypodiopsida","NLC"
"Cheiropleuria integrifolia","t0026436","Plantae","Polypodiopsida","NLC"
"Dipteris conjugata","t0026437","Plantae","Polypodiopsida","NLC"
"Lygodium japonicum","t0026438","Plantae","Polypodiopsida","NLC"
"Lygodium microphyllum","t0026439","Plantae","Polypodiopsida","NVU"
"Actinostachys digitata","t0026440","Plantae","Polypodiopsida","NVU"
"Schizaea dichotoma","t0026441","Plantae","Polypodiopsida","NCR"
"Azolla pinnata","t0026444","Plantae","Polypodiopsida","DD"
"Salvinia natans","t0026447","Plantae","Polypodiopsida","NCR"
"Plagiogyria adnata","t0026448","Plantae","Polypodiopsida","NLC"
"Plagiogyria euphlebia","t0026449","Plantae","Polypodiopsida","NLC"
"Plagiogyria falcata","t0026450","Plantae","Polypodiopsida","NLC"
"Plagiogyria glauca","t0026451","Plantae","Polypodiopsida","NLC"
"Plagiogyria japonica","t0026452","Plantae","Polypodiopsida","NVU"
"Plagiogyria koidzumii","t0026453","Plantae","Polypodiopsida","NCR"
"Plagiogyria stenoptera","t0026455","Plantae","Polypodiopsida","NLC"
"Alsophila metteniana","t0026459","Plantae","Polypodiopsida","NLC"
"Alsophila podophylla","t0026460","Plantae","Polypodiopsida","NLC"
"Sphaeropteris lepifera","t0026462","Plantae","Polypodiopsida","NLC"
"Cibotium barometz","t0026463","Plantae","Polypodiopsida","NLC"
"Cibotium taiwanense","t0026464","Plantae","Polypodiopsida","NLC"
"Lindsaea chienii","t0026466","Plantae","Polypodiopsida","NLC"
"Lindsaea cultrata","t0026467","Plantae","Polypodiopsida","NVU"
