"new_simple_name","taxon_id","kingdom","class","new_redlistTW"
"Burmannia championii","t0040517","Plantae","Magnoliopsida","NEN"
"Burmannia cryptopetala","t0040518","Plantae","Magnoliopsida","NVU"
"Burmannia itoana","t0040519","Plantae","Magnoliopsida","NNT"
"Burmannia liukiuensis","t0040520","Plantae","Magnoliopsida","NVU"
"Caesalpinia bonduc","t0040525","Plantae","Magnoliopsida","NVU"
"Caesalpinia crista","t0040526","Plantae","Magnoliopsida","NLC"
"Caesalpinia decapetala","t0040527","Plantae","Magnoliopsida","NLC"
"Caesalpinia minax","t0040528","Plantae","Magnoliopsida","NVU"
"Calamagrostis epigeios","t0040533","Plantae","Magnoliopsida","NLC"
"Calamus formosanus","t0040534","Plantae","Magnoliopsida","NLC"
"Calamus siphonospathus","t0040535","Plantae","Magnoliopsida","NNT"
"Calanthe alismifolia","t0040538","Plantae","Magnoliopsida","NLC"
"Calanthe alpina","t0040539","Plantae","Magnoliopsida","NCR"
"Calanthe arcuata","t0040540","Plantae","Magnoliopsida","NLC"
"Calanthe arisanensis","t0040541","Plantae","Magnoliopsida","NLC"
"Calanthe aristulifera","t0040542","Plantae","Magnoliopsida","NLC"
"Calanthe clavata","t0040543","Plantae","Magnoliopsida","DD"
"Calanthe davidii davidii","t0040544","Plantae","Magnoliopsida","NLC"
"Calanthe graciliflora","t0040545","Plantae","Magnoliopsida","NLC"
"Calanthe puberula","t0040546","Plantae","Magnoliopsida","NLC"
"Calanthe striata","t0040547","Plantae","Magnoliopsida","NNT"
"Calanthe masuca","t0040548","Plantae","Magnoliopsida","NLC"
"Calanthe tricarinata","t0040549","Plantae","Magnoliopsida","NNT"
"Calanthe triplicata","t0040550","Plantae","Magnoliopsida","NLC"
"Callerya nitida","t0040555","Plantae","Magnoliopsida","NVU"
"Callicarpa kochiana","t0040556","Plantae","Magnoliopsida","NLC"
"Callicarpa pilosissima","t0040557","Plantae","Magnoliopsida","NLC"
"Callitriche palustris","t0040561","Plantae","Magnoliopsida","NNT"
"Calystegia soldanella","t0040578","Plantae","Magnoliopsida","NNT"
"Camellia brevistyla","t0040579","Plantae","Magnoliopsida","NLC"
"Camellia caudata","t0040580","Plantae","Magnoliopsida","NLC"
"Camellia formosensis","t0040581","Plantae","Magnoliopsida","NNT"
"Camellia furfuracea","t0040582","Plantae","Magnoliopsida","NVU"
"Camellia japonica","t0040583","Plantae","Magnoliopsida","NVU"
"Camellia kissi","t0040584","Plantae","Magnoliopsida","NVU"
"Camellia salicifolia","t0040585","Plantae","Magnoliopsida","NNT"
"Camellia transarisanensis","t0040587","Plantae","Magnoliopsida","NLC"
"Camellia trichoclada","t0040588","Plantae","Magnoliopsida","NVU"
"Camonea vitifolia","t0040590","Plantae","Magnoliopsida","NEN"
"Campanula dimorphantha","t0040591","Plantae","Magnoliopsida","NNT"
"Camphora micrantha","t0040593","Plantae","Magnoliopsida","NLC"
"Machilus philippinensis","t0040595","Plantae","Magnoliopsida","NLC"
"Campylotropis giraldii","t0040609","Plantae","Magnoliopsida","NLC"
"Canavalia cathartica","t0040610","Plantae","Magnoliopsida","NLC"
"Canavalia rosea","t0040612","Plantae","Magnoliopsida","NLC"
"Capillipedium assimile","t0040618","Plantae","Magnoliopsida","NLC"
"Capillipedium kwashotensis","t0040619","Plantae","Magnoliopsida","NNT"
"Capillipedium parviflorum","t0040620","Plantae","Magnoliopsida","NLC"
"Capparis acutifolia","t0040621","Plantae","Magnoliopsida","NVU"
"Capparis micracantha henryi","t0040622","Plantae","Magnoliopsida","NLC"
"Capparis pubiflora","t0040623","Plantae","Magnoliopsida","NEN"
"Cardamine flexuosa","t0040626","Plantae","Magnoliopsida","NLC"
"Vincetoxicum atratum","t0046066","Plantae","Magnoliopsida","NEN"
"Vincetoxicum chinense","t0046067","Plantae","Magnoliopsida","NNT"
"Vincetoxicum hirsutum","t0046068","Plantae","Magnoliopsida","NLC"
"Vincetoxicum lui","t0046070","Plantae","Magnoliopsida","NLC"
"Vincetoxicum oshimae","t0046071","Plantae","Magnoliopsida","NLC"
"Vincetoxicum sui","t0046072","Plantae","Magnoliopsida","NLC"
"Vincetoxicum taiwanense","t0046073","Plantae","Magnoliopsida","NNT"
"Limnophila aromaticoides","t0046082","Plantae","Magnoliopsida","NNT"
"Limnophila taoyuanensis","t0046083","Plantae","Magnoliopsida","EW"
"Limnophila heterophylla","t0046084","Plantae","Magnoliopsida","EW"
"Limnophila sessiliflora","t0046085","Plantae","Magnoliopsida","NEN"
"Limnophila fragrans","t0046095","Plantae","Magnoliopsida","NEN"
"Deutzia cordatula","t0046100","Plantae","Magnoliopsida","NLC"
"Pedicularis refracta transmorrisonensis","t0046101","Plantae","Magnoliopsida","NLC"
"Entada tonkinensis","t0046111","Plantae","Magnoliopsida","NLC"
"Entada rheedei","t0046112","Plantae","Magnoliopsida","NLC"
"Leptopetalum biflorum","t0046113","Plantae","Magnoliopsida","NLC"
"Leptopetalum paniculatum","t0046114","Plantae","Magnoliopsida","NLC"
"Melastoma malabathricum","t0046118","Plantae","Magnoliopsida","DD"
"Medinilla taiwaniana","t0046121","Plantae","Magnoliopsida","NLC"
"Heptapleurum arboricola","t0046124","Plantae","Magnoliopsida","NLC"
"Heptapleurum ellipticum","t0046125","Plantae","Magnoliopsida","NVU"
"Heptapleurum taiwanianum","t0046126","Plantae","Magnoliopsida","NLC"
"Heptapleurum heptaphyllum","t0046127","Plantae","Magnoliopsida","NLC"
"Hymenophyllum parallelocarpum","t0046136","Plantae","Polypodiopsida","NLC"
"Hymenophyllum fujisanense","t0046137","Plantae","Polypodiopsida","NLC"
"Epithema ceylanicum","t0046144","Plantae","Magnoliopsida","NVU"
"Limnophila rugosa","t0046156","Plantae","Magnoliopsida","NVU"
"Sagittaria trifolia","t0046157","Plantae","Magnoliopsida","NLC"
"Eccoilopus formosanus","t0046160","Plantae","Magnoliopsida","DD"
"Hygrophila polysperma","t0046166","Plantae","Magnoliopsida","NEN"
"Hemigraphis reptans","t0046167","Plantae","Magnoliopsida","NVU"
"Staurogyne concinnula","t0046168","Plantae","Magnoliopsida","NLC"
"Lysimachia arvensis","t0046172","Plantae","Magnoliopsida","NLC"
"Justicia procumbens","t0046173","Plantae","Magnoliopsida","NVU"
"Rungia chinensis","t0046176","Plantae","Magnoliopsida","NLC"
"Strobilanthes formosanus","t0046177","Plantae","Magnoliopsida","NLC"
"Torilis japonica","t0046182","Plantae","Magnoliopsida","NLC"
"Thaumastochloa chenii","t0046219","Plantae","Magnoliopsida","NVU"
"Fatoua pilosa","t0046289","Plantae","Magnoliopsida","NLC"
"Fatoua villosa","t0046290","Plantae","Magnoliopsida","NLC"
"Ficus aurantiacea parvifolia","t0046292","Plantae","Magnoliopsida","NLC"
"Ficus benjamina","t0046293","Plantae","Magnoliopsida","NLC"
"Ficus caulocarpa","t0046294","Plantae","Magnoliopsida","NLC"
"Ficus cumingii terminalifolia","t0046295","Plantae","Magnoliopsida","NLC"
"Ficus erecta beecheyana","t0046297","Plantae","Magnoliopsida","NLC"
"Ficus erecta erecta","t0046298","Plantae","Magnoliopsida","DD"
"Ficus esquiroliana","t0046299","Plantae","Magnoliopsida","NVU"
"Ficus fistulosa","t0046300","Plantae","Magnoliopsida","NLC"
"Ficus formosana","t0046302","Plantae","Magnoliopsida","NLC"
"Ficus heteropleura","t0046303","Plantae","Magnoliopsida","NVU"
"Ficus irisana","t0046304","Plantae","Magnoliopsida","NLC"
"Ficus nervosa","t0046306","Plantae","Magnoliopsida","NLC"
"Ficus pedunculosa mearnsii","t0046308","Plantae","Magnoliopsida","NVU"
"Ficus pedunculosa pedunculosa","t0046309","Plantae","Magnoliopsida","NVU"
"Ficus pubinervis","t0046310","Plantae","Magnoliopsida","NNT"
"Ficus pumila awkeotsang","t0046312","Plantae","Magnoliopsida","NLC"
"Ficus ruficaulis antaoensis","t0046313","Plantae","Magnoliopsida","NNT"
"Ficus sarmentosa","t0046314","Plantae","Magnoliopsida","NLC"
"Ficus septica","t0046316","Plantae","Magnoliopsida","NLC"
"Ficus superba japonica","t0046317","Plantae","Magnoliopsida","NLC"
"Ficus tannoensis","t0046318","Plantae","Magnoliopsida","NLC"
"Ficus tinctoria","t0046319","Plantae","Magnoliopsida","NLC"
"Ficus vaccinioides","t0046320","Plantae","Magnoliopsida","NLC"
"Ficus variegata garciae","t0046321","Plantae","Magnoliopsida","NLC"
"Ficus virgata","t0046322","Plantae","Magnoliopsida","NLC"
"Humulus scandens","t0046323","Plantae","Magnoliopsida","NLC"
"Maclura cochinchinensis","t0046324","Plantae","Magnoliopsida","NLC"
"Malaisia scandens","t0046325","Plantae","Magnoliopsida","NLC"
"Morus australis","t0046326","Plantae","Magnoliopsida","NLC"
"Vallisneria gigantea","t0049252","Plantae","Magnoliopsida","DD"
"Vanda lamellata","t0049254","Plantae","Magnoliopsida","NVU"
"Vanilla somae","t0049257","Plantae","Magnoliopsida","NLC"
"Vanoverberghia sasakiana","t0049258","Plantae","Magnoliopsida","NVU"
"Ventilago elegans","t0049259","Plantae","Magnoliopsida","NLC"
"Ventilago leiocarpa","t0049260","Plantae","Magnoliopsida","NLC"
"Veratrum formosanum","t0049261","Plantae","Magnoliopsida","NLC"
"Vernonia cinerea parviflora","t0049269","Plantae","Magnoliopsida","NLC"
"Vernonia gratiosa","t0049271","Plantae","Magnoliopsida","NLC"
"Vernonia maritima","t0049272","Plantae","Magnoliopsida","NVU"
"Vernonia patula","t0049273","Plantae","Magnoliopsida","NLC"
"Veronica didyma","t0049275","Plantae","Magnoliopsida","NLC"
"Veronica javanica","t0049277","Plantae","Magnoliopsida","NLC"
"Veronica linariifolia","t0049278","Plantae","Magnoliopsida","NLC"
"Veronica morrisonicola","t0049279","Plantae","Magnoliopsida","NLC"
"Veronica oligosperma","t0049280","Plantae","Magnoliopsida","NLC"
"Veronica taiwanica","t0049283","Plantae","Magnoliopsida","NLC"
"Veronica undulata","t0049284","Plantae","Magnoliopsida","NLC"
"Veronicastrum loshanense","t0049285","Plantae","Magnoliopsida","NCR"
"Viburnum betulifolium","t0049287","Plantae","Magnoliopsida","NLC"
"Viburnum erosum","t0049288","Plantae","Magnoliopsida","NLC"
"Viburnum formosanum","t0049289","Plantae","Magnoliopsida","NLC"
"Viburnum luzonicum","t0049290","Plantae","Magnoliopsida","NLC"
"Viburnum odoratissimum","t0049291","Plantae","Magnoliopsida","NLC"
"Viburnum parvifolium","t0049292","Plantae","Magnoliopsida","NLC"
"Viburnum propinquum","t0049294","Plantae","Magnoliopsida","NLC"
"Viburnum sphaerocarpum","t0049295","Plantae","Magnoliopsida","DD"
"Viburnum sympodiale","t0049296","Plantae","Magnoliopsida","NLC"
"Viburnum taitoense","t0049297","Plantae","Magnoliopsida","NLC"
"Viburnum urceolatum","t0049298","Plantae","Magnoliopsida","NLC"
"Vigna hosei","t0049304","Plantae","Magnoliopsida","NLC"
"Vigna luteola","t0049305","Plantae","Magnoliopsida","NLC"
"Vigna marina","t0049306","Plantae","Magnoliopsida","NLC"
"Vigna radiata sublobata","t0049308","Plantae","Magnoliopsida","NLC"
"Vigna reflexopilosa","t0049309","Plantae","Magnoliopsida","NLC"
"Viola arcuata","t0049311","Plantae","Magnoliopsida","NLC"
"Viola betonicifolia","t0049313","Plantae","Magnoliopsida","NLC"
"Viola biflora","t0049314","Plantae","Magnoliopsida","NNT"
"Viola confusa","t0049315","Plantae","Magnoliopsida","NLC"
"Viola diffusa","t0049316","Plantae","Magnoliopsida","NLC"
"Viola grypoceras","t0049318","Plantae","Magnoliopsida","NLC"
"Viola mandshurica","t0049320","Plantae","Magnoliopsida","NLC"
"Viola senzanensis","t0049322","Plantae","Magnoliopsida","NLC"
"Viola shinchikuensis","t0049323","Plantae","Magnoliopsida","NLC"
"Viola tenuis","t0049324","Plantae","Magnoliopsida","NLC"
"Viscum angulatum","t0049327","Plantae","Magnoliopsida","NNT"
"Viscum articulatum","t0049328","Plantae","Magnoliopsida","NLC"
"Viscum multinerve","t0049329","Plantae","Magnoliopsida","NNT"
"Vitex negundo","t0049330","Plantae","Magnoliopsida","NLC"
"Vitex rotundifolia","t0049331","Plantae","Magnoliopsida","NLC"
"Vitex trifolia","t0049332","Plantae","Magnoliopsida","NVU"
"Vitis amurensis","t0049333","Plantae","Magnoliopsida","NVU"
"Vitis flexuosa","t0049334","Plantae","Magnoliopsida","NNT"
"Vitis kelungensis","t0049335","Plantae","Magnoliopsida","NNT"
"Vrydagzynea nuda","t0049340","Plantae","Magnoliopsida","NLC"
"Wahlenbergia marginata","t0049342","Plantae","Magnoliopsida","NLC"
"Waltheria americana","t0049343","Plantae","Magnoliopsida","NLC"
"Wendlandia formosana","t0049344","Plantae","Magnoliopsida","NLC"
"Wendlandia luzoniensis","t0049345","Plantae","Magnoliopsida","NLC"
"Wendlandia uvariifolia","t0049346","Plantae","Magnoliopsida","NLC"
"Wikstroemia lanceolata","t0049347","Plantae","Magnoliopsida","NNT"
"Wikstroemia mononectaria","t0049348","Plantae","Magnoliopsida","NVU"
"Wikstroemia retusa","t0049349","Plantae","Magnoliopsida","DD"
"Wikstroemia taiwanensis","t0049350","Plantae","Magnoliopsida","NLC"
"Wolffia globosa","t0049351","Plantae","Magnoliopsida","NLC"
"Xylosma congesta","t0049356","Plantae","Magnoliopsida","NLC"
"Xyris formosana","t0049357","Plantae","Magnoliopsida","NCR"
"Yoania japonica","t0049360","Plantae","Magnoliopsida","NEN"
"Ypsilandra thibetica","t0049361","Plantae","Magnoliopsida","NLC"
"Yushania niitakayamensis","t0049366","Plantae","Magnoliopsida","NLC"
"Zannichellia palustris","t0049368","Plantae","Magnoliopsida","NVU"
"Zanthoxylum acanthopodium","t0049371","Plantae","Magnoliopsida","NVU"
"Zanthoxylum armatum","t0049372","Plantae","Magnoliopsida","RE"
"Zanthoxylum pistaciiflorum","t0049373","Plantae","Magnoliopsida","NEN"
"Zanthoxylum scandens","t0049374","Plantae","Magnoliopsida","NLC"
"Zanthoxylum schinifolium","t0049375","Plantae","Magnoliopsida","NLC"
"Zanthoxylum simulans","t0049376","Plantae","Magnoliopsida","NEN"
"Zanthoxylum wutaiense","t0049377","Plantae","Magnoliopsida","NEN"
"Zehneria mucronata","t0049379","Plantae","Magnoliopsida","NLC"
"Zelkova serrata","t0049380","Plantae","Magnoliopsida","NLC"
"Zeuxine flava","t0049383","Plantae","Magnoliopsida","NLC"
"Zeuxine agyokuana","t0049384","Plantae","Magnoliopsida","NLC"
"Zeuxine integrilabella","t0049386","Plantae","Magnoliopsida","NVU"
"Zeuxine kantokeiense","t0049387","Plantae","Magnoliopsida","DD"
"Zeuxine nervosa","t0049388","Plantae","Magnoliopsida","NLC"
"Zeuxine philippinensis","t0049390","Plantae","Magnoliopsida","NCR"
"Zeuxine tenuifolia","t0049393","Plantae","Magnoliopsida","NLC"
"Zingiber oligophyllum","t0049395","Plantae","Magnoliopsida","NEN"
"Zingiber pleiostachyum","t0049396","Plantae","Magnoliopsida","NLC"
"Zornia cantoniensis","t0049403","Plantae","Magnoliopsida","NLC"
"Zornia intecta","t0049404","Plantae","Magnoliopsida","NVU"
"Zostera japonica","t0049405","Plantae","Magnoliopsida","NLC"
"Zoysia matrella","t0049407","Plantae","Magnoliopsida","NLC"
"Zoysia pacifica","t0049408","Plantae","Magnoliopsida","NNT"
"Zoysia sinica","t0049409","Plantae","Magnoliopsida","NLC"
"Abies kawakamii","t0052518","Plantae","Pinopsida","NLC"
"Acalypha akoensis","t0052526","Plantae","Magnoliopsida","DD"
"Acalypha hontauyuensis","t0052528","Plantae","Magnoliopsida","DD"
"Acer morrisonense","t0052532","Plantae","Magnoliopsida","NLC"
"Adenophora morrisonensis uehatae","t0052534","Plantae","Magnoliopsida","NLC"
"Adinandra lasiostyla","t0052536","Plantae","Magnoliopsida","NLC"
"Aeginetia indica","t0052538","Plantae","Magnoliopsida","NLC"
"Aeschynanthus acuminatus","t0052539","Plantae","Magnoliopsida","NLC"
"Aglaia chittagonga","t0052541","Plantae","Magnoliopsida","NVU"
"Aglaia elliptifolia","t0052542","Plantae","Magnoliopsida","NLC"
"Agrostis dimorpholemma","t0052544","Plantae","Magnoliopsida","NEN"
"Ainsliaea secundiflora","t0052546","Plantae","Magnoliopsida","NVU"
"Ajuga dictyocarpa","t0052549","Plantae","Magnoliopsida","NVU"
"Ajuga pygmaea","t0052550","Plantae","Magnoliopsida","NVU"
"Akebia longeracemosa","t0052551","Plantae","Magnoliopsida","NLC"
"Alniphyllum pterospermum","t0052556","Plantae","Magnoliopsida","NLC"
"Alpinia nantoensis","t0052569","Plantae","Magnoliopsida","DD"
"Alpinia oui","t0052570","Plantae","Magnoliopsida","NLC"
"Alpinia uraiensis","t0052572","Plantae","Magnoliopsida","NLC"
"Alyxia monticola","t0052574","Plantae","Magnoliopsida","NNT"
"Alyxia sinensis","t0052576","Plantae","Magnoliopsida","DD"
"Alyxia taiwanensis","t0052577","Plantae","Magnoliopsida","NNT"
"Amentotaxus formosana","t0052582","Plantae","Pinopsida","NEN"
"Amitostigma alpestre","t0052583","Plantae","Magnoliopsida","NLC"
"Ammannia baccifera","t0052585","Plantae","Magnoliopsida","NLC"
"Amorphophallus hirtus","t0052587","Plantae","Magnoliopsida","NLC"
"Anaphalis horaimontana","t0052592","Plantae","Magnoliopsida","NLC"
"Angelica hirsutiflora","t0052593","Plantae","Magnoliopsida","NVU"
"Angelica tarokoensis","t0052594","Plantae","Magnoliopsida","NEN"
"Aniselytron agrostoides","t0052596","Plantae","Magnoliopsida","NLC"
"Anoectochilus formosanus","t0052597","Plantae","Magnoliopsida","NLC"
"Anoectochilus koshunensis","t0052598","Plantae","Magnoliopsida","NLC"
"Aphyllorchis simplex","t0052603","Plantae","Magnoliopsida","DD"
"Apios taiwanianus","t0052604","Plantae","Magnoliopsida","NEN"
"Arabidopsis halleri gemmifera","t0052608","Plantae","Magnoliopsida","NEN"
"Aralia decaisneana","t0052610","Plantae","Magnoliopsida","NLC"
"Ardisia japonica","t0052614","Plantae","Magnoliopsida","NLC"
"Ardisia pusilla","t0052615","Plantae","Magnoliopsida","NLC"
"Ardisia virens","t0052617","Plantae","Magnoliopsida","NLC"
"Arenaria serpyllifolia","t0052618","Plantae","Magnoliopsida","NLC"
"Argyreia akoensis","t0052619","Plantae","Magnoliopsida","NCR"
"Arisaema ilanense","t0052620","Plantae","Magnoliopsida","NVU"
"Arisaema nanjenense","t0052621","Plantae","Magnoliopsida","NVU"
"Aristida chinensis","t0052622","Plantae","Magnoliopsida","NCR"
"Isotrema cucurbitifolium","t0052623","Plantae","Magnoliopsida","NVU"
"Aristolochia foveolata","t0052624","Plantae","Magnoliopsida","NNT"
"Aristolochia heterophylla","t0052625","Plantae","Magnoliopsida","NLC"
"Artemisia anomala","t0052626","Plantae","Magnoliopsida","NNT"
"Artemisia capillaris","t0052627","Plantae","Magnoliopsida","NLC"
"Artemisia chingii","t0052628","Plantae","Magnoliopsida","NLC"
"Artemisia fukudo","t0052630","Plantae","Magnoliopsida","NLC"
"Artemisia kawakamii","t0052631","Plantae","Magnoliopsida","NLC"
"Artemisia niitakayamensis","t0052632","Plantae","Magnoliopsida","NLC"
"Artemisia oligocarpa","t0052633","Plantae","Magnoliopsida","NLC"
"Artemisia simulans","t0052634","Plantae","Magnoliopsida","NLC"
"Arthraxon pauciflorus","t0052635","Plantae","Magnoliopsida","DD"
"Arthraxon quartinianus","t0052636","Plantae","Magnoliopsida","NLC"
"Asarum chatienshanianum","t0052643","Plantae","Magnoliopsida","NEN"
"Asarum crassisepalum","t0052644","Plantae","Magnoliopsida","NVU"
"Asarum epigynum","t0052645","Plantae","Magnoliopsida","NVU"
"Asarum satsumense","t0052647","Plantae","Magnoliopsida","NEN"
"Asarum taipingshanianum","t0052648","Plantae","Magnoliopsida","NVU"
"Asarum tawushanianum","t0052649","Plantae","Magnoliopsida","NCR"
"Asarum villisepalum","t0052650","Plantae","Magnoliopsida","NEN"
"Asarum yaeyamense","t0052651","Plantae","Magnoliopsida","NEN"
"Aspidistra daibuensis","t0052654","Plantae","Magnoliopsida","NLC"
"Aster altaicus","t0052656","Plantae","Magnoliopsida","NEN"
"Aster chingshuiensis","t0052657","Plantae","Magnoliopsida","NEN"
"Aster formosanus","t0052658","Plantae","Magnoliopsida","NLC"
"Aster indicus","t0052659","Plantae","Magnoliopsida","NLC"
"Aster itsunboshi","t0052660","Plantae","Magnoliopsida","DD"
"Aster lasiocladus","t0052661","Plantae","Magnoliopsida","NLC"
"Aster morrisonensis","t0052662","Plantae","Magnoliopsida","NEN"
"Aster oldhamii","t0052663","Plantae","Magnoliopsida","NLC"
"Aster ovalifolius","t0052664","Plantae","Magnoliopsida","NEN"
"Aster taiwanensis","t0052667","Plantae","Magnoliopsida","NLC"
"Aster taoyuenensis","t0052668","Plantae","Magnoliopsida","NEN"
"Astilbe macroflora","t0052670","Plantae","Magnoliopsida","NLC"
"Astragalus nankotaizanensis","t0052672","Plantae","Magnoliopsida","NEN"
"Astragalus nokoensis","t0052673","Plantae","Magnoliopsida","NVU"
"Atriplex maximowicziana","t0052676","Plantae","Magnoliopsida","NLC"
"Atriplex nummularia","t0052677","Plantae","Magnoliopsida","DD"
"Aucuba chinensis","t0052678","Plantae","Magnoliopsida","NLC"
"Aucuba japonica","t0052679","Plantae","Magnoliopsida","NLC"
"Avicennia marina","t0052682","Plantae","Magnoliopsida","NLC"
"Bacopa monnieri","t0052683","Plantae","Magnoliopsida","NLC"
"Balanophora fungosa","t0052685","Plantae","Magnoliopsida","NVU"
"Balanophora japonica","t0052686","Plantae","Magnoliopsida","NCR"
"Balanophora wrightii","t0052687","Plantae","Magnoliopsida","NVU"
"Balanophora yakushimensis","t0052688","Plantae","Magnoliopsida","NEN"
"Bambusa dolichoclada","t0052690","Plantae","Magnoliopsida","NLC"
"Bambusa dolichomerithalla","t0052691","Plantae","Magnoliopsida","NLC"
"Bambusa utilis","t0052693","Plantae","Magnoliopsida","DD"
"Barbarea taiwaniana","t0052695","Plantae","Magnoliopsida","NEN"
"Phanera championii","t0052696","Plantae","Magnoliopsida","NLC"
"Begonia austrotaiwanensis","t0052697","Plantae","Magnoliopsida","NVU"
"Begonia bouffordii","t0052698","Plantae","Magnoliopsida","NEN"
"Begonia chitoensis","t0052699","Plantae","Magnoliopsida","NLC"
"Begonia chuyunshanensis","t0052700","Plantae","Magnoliopsida","NVU"
"Begonia lukuana","t0052704","Plantae","Magnoliopsida","NVU"
"Begonia nantoensis","t0052706","Plantae","Magnoliopsida","NLC"
"Begonia pinglinensis","t0052707","Plantae","Magnoliopsida","NNT"
"Begonia ravenii","t0052708","Plantae","Magnoliopsida","NNT"
"Begonia taiwaniana","t0052709","Plantae","Magnoliopsida","NLC"
"Begonia tengchiana","t0052710","Plantae","Magnoliopsida","NVU"
"Begonia wutaiana","t0052711","Plantae","Magnoliopsida","NVU"
"Berberis aristatoserrulata","t0052712","Plantae","Magnoliopsida","DD"
"Berberis brevisepala","t0052713","Plantae","Magnoliopsida","NNT"
"Berberis chingshuiensis","t0052714","Plantae","Magnoliopsida","NCR"
"Berberis hayatana","t0052715","Plantae","Magnoliopsida","NNT"
"Berberis nantoensis","t0052717","Plantae","Magnoliopsida","NVU"
"Berberis pengii","t0052718","Plantae","Magnoliopsida","NNT"
"Berberis ravenii","t0052719","Plantae","Magnoliopsida","DD"
"Berberis schaaliae","t0052720","Plantae","Magnoliopsida","NNT"
"Berberis tarokoensis","t0052721","Plantae","Magnoliopsida","NCR"
"Berchemia arisanensis","t0052722","Plantae","Magnoliopsida","NVU"
"Berchemia fenchifuensis","t0052723","Plantae","Magnoliopsida","NEN"
"Berchemia formosana","t0052724","Plantae","Magnoliopsida","NLC"
"Berchemia lineata","t0052725","Plantae","Magnoliopsida","NLC"
"Bergia ammannioides","t0052726","Plantae","Magnoliopsida","NNT"
"Berrya ammonilla","t0052727","Plantae","Magnoliopsida","NEN"
"Blumea conspicua","t0052729","Plantae","Magnoliopsida","NVU"
"Blumea formosana","t0052730","Plantae","Magnoliopsida","NLC"
"Blumea linearis","t0052732","Plantae","Magnoliopsida","NVU"
"Blumea mollis","t0052733","Plantae","Magnoliopsida","NLC"
"Blumea oblongifolia","t0052734","Plantae","Magnoliopsida","NVU"
"Boehmeria densiflora","t0052736","Plantae","Magnoliopsida","NLC"
"Boehmeria hwaliensis","t0052737","Plantae","Magnoliopsida","NVU"
"Boehmeria longispica","t0052738","Plantae","Magnoliopsida","NEN"
"Boehmeria pilosiuscula","t0052739","Plantae","Magnoliopsida","NLC"
"Boehmeria pilushanensis","t0052740","Plantae","Magnoliopsida","NVU"
"Bonnaya antipoda","t0052743","Plantae","Magnoliopsida","NLC"
"Bothriochloa glabra","t0052746","Plantae","Magnoliopsida","NLC"
"Bredia dulanica","t0052748","Plantae","Magnoliopsida","NVU"
"Bredia oldhamii","t0052749","Plantae","Magnoliopsida","NLC"
"Bretschneidera sinensis","t0052751","Plantae","Magnoliopsida","NLC"
"Bromus formosanus","t0052752","Plantae","Magnoliopsida","NNT"
"Buddleja asiatica","t0052755","Plantae","Magnoliopsida","NLC"
"Bulbophyllum albociliatum brevipedunculatum","t0052756","Plantae","Magnoliopsida","NVU"
"Bulbophyllum ciliisepalum","t0052757","Plantae","Magnoliopsida","NEN"
"Bulbophyllum confragosum","t0052758","Plantae","Magnoliopsida","DD"
"Bulbophyllum fimbriperianthium","t0052759","Plantae","Magnoliopsida","NCR"
"Bulbophyllum hymenanthum","t0052760","Plantae","Magnoliopsida","NNT"
"Bulbophyllum omerandrum","t0052761","Plantae","Magnoliopsida","NLC"
"Bulbophyllum umbellatum","t0052763","Plantae","Magnoliopsida","NLC"
"Bupleurum kaoi","t0052764","Plantae","Magnoliopsida","NEN"
"Calamagrostis arundinacea","t0052765","Plantae","Magnoliopsida","NLC"
"Calamus beccarii","t0052766","Plantae","Magnoliopsida","NLC"
"Calanthe kinabaluensis","t0052768","Plantae","Magnoliopsida","DD"
"Calathodes polycarpa","t0052769","Plantae","Magnoliopsida","NEN"
"Caldesia grandis","t0052770","Plantae","Magnoliopsida","NCR"
"Callicarpa hypoleucophylla","t0052772","Plantae","Magnoliopsida","NVU"
"Callicarpa japonica luxurians","t0052773","Plantae","Magnoliopsida","NLC"
"Callicarpa longissima","t0052774","Plantae","Magnoliopsida","NNT"
"Callicarpa randaiensis","t0052776","Plantae","Magnoliopsida","NLC"
"Callicarpa remotiflora","t0052777","Plantae","Magnoliopsida","NNT"
"Callicarpa remotiserrulata","t0052778","Plantae","Magnoliopsida","NLC"
"Callicarpa tikusikensis","t0052779","Plantae","Magnoliopsida","NLC"
"Callitriche japonica","t0052781","Plantae","Magnoliopsida","NLC"
"Callitriche raveniana","t0052782","Plantae","Magnoliopsida","DD"
"Calocedrus macrolepis","t0052783","Plantae","Pinopsida","NVU"
"Calocedrus macrolepis formosana","t0052784","Plantae","Pinopsida","NVU"
"Calophyllum blancoi","t0052786","Plantae","Magnoliopsida","NEN"
"Calophyllum inophyllum","t0052787","Plantae","Magnoliopsida","NLC"
"Camellia nokoensis","t0052788","Plantae","Magnoliopsida","NVU"
"Camellia transnokoensis","t0052791","Plantae","Magnoliopsida","NLC"
"Canavalia lineata","t0052793","Plantae","Magnoliopsida","NLC"
"Canthium gynochodes","t0052795","Plantae","Magnoliopsida","NNT"
"Capparis floribunda","t0052796","Plantae","Magnoliopsida","NVU"
"Capparis lanceolaris","t0052797","Plantae","Magnoliopsida","NCR"
"Capparis sabiifolia","t0052798","Plantae","Magnoliopsida","NLC"
"Cardamine agyokumontana","t0052801","Plantae","Magnoliopsida","DD"
"Cardamine impatiens","t0052803","Plantae","Magnoliopsida","NLC"
