"new_simple_name","taxon_id","kingdom","class","new_iucn","new_protected","new_redlistTW"
"Capparis acutifolia","t0040621","Plantae","Magnoliopsida","LC",NA,"NVU"
"Heptapleurum heptaphyllum","t0046127","Plantae","Magnoliopsida","LC",NA,"NLC"
"Limnophila rugosa","t0046156","Plantae","Magnoliopsida","LC",NA,"NVU"
"Sagittaria trifolia","t0046157","Plantae","Magnoliopsida","LC",NA,"NLC"
"Magnolia champaca","t0046174","Plantae","Magnoliopsida","LC",NA,NA
"Ficus ampelos","t0046291","Plantae","Magnoliopsida","LC",NA,"NLC"
"Ficus fistulosa","t0046300","Plantae","Magnoliopsida","LC",NA,"NLC"
"Ficus septica","t0046316","Plantae","Magnoliopsida","LC",NA,"NLC"
"Ficus virgata","t0046322","Plantae","Magnoliopsida","LC",NA,"NLC"
"Vallisneria spiralis","t0049253","Plantae","Magnoliopsida","LC",NA,NA
"Vangueria madagascariensis","t0049255","Plantae","Magnoliopsida","LC",NA,NA
"Vanilla albida","t0049256","Plantae","Magnoliopsida","EN",NA,NA
"Vernicia montana","t0049267","Plantae","Magnoliopsida","LC",NA,NA
"Veronica peregrina","t0049281","Plantae","Magnoliopsida","LC",NA,NA
"Viburnum luzonicum","t0049290","Plantae","Magnoliopsida","LC",NA,"NLC"
"Vitex negundo","t0049330","Plantae","Magnoliopsida","LC",NA,"NLC"
"Waltheria indica","t0049343","Plantae","Magnoliopsida","LC",NA,"NLC"
"Wendlandia luzoniensis","t0049345","Plantae","Magnoliopsida","LC",NA,"NLC"
"Wendlandia uvariifolia","t0049346","Plantae","Magnoliopsida","LC",NA,"NLC"
"Xylosma congesta","t0049356","Plantae","Magnoliopsida","LC",NA,"NLC"
"Xyris indica","t0049358","Plantae","Magnoliopsida","LC",NA,NA
"Yoania japonica","t0049360","Plantae","Magnoliopsida","LC",NA,"NEN"
"Yucca aloifolia","t0049362","Plantae","Magnoliopsida","DD",NA,NA
"Yucca gloriosa","t0049365","Plantae","Magnoliopsida","LC",NA,NA
"Zanthoxylum armatum","t0049372","Plantae","Magnoliopsida","LC",NA,"RE"
"Zea mays","t0049378","Plantae","Magnoliopsida","LC",NA,NA
"Zingiber officinale","t0049394","Plantae","Magnoliopsida","DD",NA,NA
"Zingiber zerumbet","t0049397","Plantae","Magnoliopsida","DD",NA,NA
"Ziziphus mauritiana","t0049402","Plantae","Magnoliopsida","LC",NA,NA
"Zostera japonica","t0049405","Plantae","Magnoliopsida","LC",NA,"NLC"
"Abies kawakamii","t0052518","Plantae","Pinopsida","NT",NA,"NLC"
"Acacia dealbata","t0052524","Plantae","Magnoliopsida","LC",NA,NA
"Acacia farnesiana","t0052525","Plantae","Magnoliopsida","LC",NA,NA
"Acer morrisonense","t0052532","Plantae","Magnoliopsida","LC",NA,"NLC"
"Aegiceras corniculatum","t0052537","Plantae","Magnoliopsida","LC",NA,NA
"Aglaia chittagonga","t0052541","Plantae","Magnoliopsida","VU",NA,"NVU"
"Aglaia elliptifolia","t0052542","Plantae","Magnoliopsida","LC",NA,"NLC"
