"new_simple_name","kingdom","class","new_redlistTW"
"Bulbostylis densa","Plantae","Magnoliopsida","NLC"
"Burmannia championii","Plantae","Magnoliopsida","NEN"
"Burmannia cryptopetala","Plantae","Magnoliopsida","NVU"
"Burmannia itoana","Plantae","Magnoliopsida","NNT"
"Burmannia liukiuensis","Plantae","Magnoliopsida","NVU"
"Caesalpinia bonduc","Plantae","Magnoliopsida","NVU"
"Caesalpinia crista","Plantae","Magnoliopsida","NLC"
"Caesalpinia decapetala","Plantae","Magnoliopsida","NLC"
"Caesalpinia minax","Plantae","Magnoliopsida","NVU"
"Calamagrostis epigeios","Plantae","Magnoliopsida","NLC"
"Calamus formosanus","Plantae","Magnoliopsida","NLC"
"Calamus siphonospathus","Plantae","Magnoliopsida","NNT"
"Calanthe alismifolia","Plantae","Magnoliopsida","NLC"
"Calanthe alpina","Plantae","Magnoliopsida","NCR"
"Calanthe arcuata","Plantae","Magnoliopsida","NLC"
"Calanthe arisanensis","Plantae","Magnoliopsida","NLC"
"Calanthe aristulifera","Plantae","Magnoliopsida","NLC"
"Calanthe clavata","Plantae","Magnoliopsida","DD"
"Calanthe davidii davidii","Plantae","Magnoliopsida","NLC"
"Calanthe graciliflora","Plantae","Magnoliopsida","NLC"
"Calanthe puberula","Plantae","Magnoliopsida","NLC"
"Calanthe striata","Plantae","Magnoliopsida","NNT"
"Calanthe sylvatica","Plantae","Magnoliopsida","NLC"
"Calanthe tricarinata","Plantae","Magnoliopsida","NNT"
"Calanthe triplicata","Plantae","Magnoliopsida","NLC"
"Callerya nitida","Plantae","Magnoliopsida","NVU"
"Callicarpa kochiana","Plantae","Magnoliopsida","NLC"
"Callicarpa pilosissima","Plantae","Magnoliopsida","NLC"
"Callitriche palustris","Plantae","Magnoliopsida","NNT"
"Calystegia soldanella","Plantae","Magnoliopsida","NNT"
"Camellia brevistyla","Plantae","Magnoliopsida","NLC"
"Camellia caudata","Plantae","Magnoliopsida","NLC"
"Camellia formosensis","Plantae","Magnoliopsida","NNT"
"Camellia furfuracea","Plantae","Magnoliopsida","NVU"
"Camellia japonica","Plantae","Magnoliopsida","NVU"
"Camellia kissi","Plantae","Magnoliopsida","NVU"
"Camellia salicifolia","Plantae","Magnoliopsida","NNT"
"Camellia transarisanensis","Plantae","Magnoliopsida","NLC"
"Camellia trichoclada","Plantae","Magnoliopsida","NVU"
"Camonea vitifolia","Plantae","Magnoliopsida","NEN"
"Campanula dimorphantha","Plantae","Magnoliopsida","NNT"
"Camphora micrantha","Plantae","Magnoliopsida","NLC"
"Machilus philippinensis","Plantae","Magnoliopsida","NLC"
"Campylotropis giraldii","Plantae","Magnoliopsida","NLC"
"Canavalia cathartica","Plantae","Magnoliopsida","NLC"
"Canavalia rosea","Plantae","Magnoliopsida","NLC"
"Capillipedium assimile","Plantae","Magnoliopsida","NLC"
"Capillipedium kwashotensis","Plantae","Magnoliopsida","NNT"
"Capillipedium parviflorum","Plantae","Magnoliopsida","NLC"
"Capparis acutifolia","Plantae","Magnoliopsida","NVU"
"Capparis micracantha henryi","Plantae","Magnoliopsida","NLC"
"Capparis pubiflora","Plantae","Magnoliopsida","NEN"
"Cardamine flexuosa","Plantae","Magnoliopsida","NLC"
"Vincetoxicum atratum","Plantae","Magnoliopsida","NEN"
"Vincetoxicum chinense","Plantae","Magnoliopsida","NNT"
"Vincetoxicum hirsutum","Plantae","Magnoliopsida","NLC"
"Vincetoxicum lui","Plantae","Magnoliopsida","NLC"
"Vincetoxicum oshimae","Plantae","Magnoliopsida","NLC"
"Vincetoxicum sui","Plantae","Magnoliopsida","NLC"
"Vincetoxicum taiwanense","Plantae","Magnoliopsida","NNT"
"Limnophila aromaticoides","Plantae","Magnoliopsida","NNT"
"Limnophila taoyuanensis","Plantae","Magnoliopsida","EW"
"Limnophila heterophylla","Plantae","Magnoliopsida","EW"
"Limnophila sessiliflora","Plantae","Magnoliopsida","NEN"
"Limnophila fragrans","Plantae","Magnoliopsida","NEN"
"Deutzia cordatula","Plantae","Magnoliopsida","NLC"
"Pedicularis refracta transmorrisonensis","Plantae","Magnoliopsida","NLC"
"Entada tonkinensis","Plantae","Magnoliopsida","NLC"
"Entada rheedei","Plantae","Magnoliopsida","NLC"
"Leptopetalum biflorum","Plantae","Magnoliopsida","NLC"
"Leptopetalum paniculatum","Plantae","Magnoliopsida","NLC"
"Melastoma affine","Plantae","Magnoliopsida","DD"
"Medinilla taiwaniana","Plantae","Magnoliopsida","NLC"
"Heptapleurum arboricola","Plantae","Magnoliopsida","NLC"
"Heptapleurum ellipticum","Plantae","Magnoliopsida","NVU"
"Heptapleurum taiwanianum","Plantae","Magnoliopsida","NLC"
"Heptapleurum heptaphyllum","Plantae","Magnoliopsida","NLC"
"Hymenophyllum parallelocarpum","Plantae","Polypodiopsida","NLC"
"Hymenophyllum fujisanense","Plantae","Polypodiopsida","NLC"
"Epithema ceylanicum","Plantae","Magnoliopsida","NVU"
"Limnophila rugosa","Plantae","Magnoliopsida","NVU"
"Sagittaria trifolia","Plantae","Magnoliopsida","NLC"
"Eccoilopus formosanus","Plantae","Magnoliopsida","DD"
"Hygrophila polysperma","Plantae","Magnoliopsida","NEN"
"Hemigraphis reptans","Plantae","Magnoliopsida","NVU"
"Staurogyne concinnula","Plantae","Magnoliopsida","NLC"
"Lysimachia arvensis","Plantae","Magnoliopsida","NLC"
"Justicia procumbens","Plantae","Magnoliopsida","NVU"
"Rungia chinensis","Plantae","Magnoliopsida","NLC"
"Strobilanthes formosanus","Plantae","Magnoliopsida","NLC"
"Torilis japonica","Plantae","Magnoliopsida","NLC"
"Thaumastochloa chenii","Plantae","Magnoliopsida","NVU"
"Fatoua pilosa","Plantae","Magnoliopsida","NLC"
"Fatoua villosa","Plantae","Magnoliopsida","NLC"
"Ficus aurantiacea parvifolia","Plantae","Magnoliopsida","NLC"
"Ficus benjamina","Plantae","Magnoliopsida","NLC"
"Ficus caulocarpa","Plantae","Magnoliopsida","NLC"
"Ficus cumingii terminalifolia","Plantae","Magnoliopsida","NLC"
"Ficus erecta beecheyana","Plantae","Magnoliopsida","NLC"
"Ficus erecta erecta","Plantae","Magnoliopsida","DD"
"Ficus esquiroliana","Plantae","Magnoliopsida","NVU"
"Ficus fistulosa","Plantae","Magnoliopsida","NLC"
"Ficus formosana","Plantae","Magnoliopsida","NLC"
"Ficus heteropleura","Plantae","Magnoliopsida","NVU"
"Ficus irisana","Plantae","Magnoliopsida","NLC"
"Ficus nervosa","Plantae","Magnoliopsida","NLC"
"Ficus pedunculosa mearnsii","Plantae","Magnoliopsida","NVU"
"Ficus pedunculosa pedunculosa","Plantae","Magnoliopsida","NVU"
"Ficus pubinervis","Plantae","Magnoliopsida","NNT"
"Ficus pumila awkeotsang","Plantae","Magnoliopsida","NLC"
"Ficus ruficaulis antaoensis","Plantae","Magnoliopsida","NNT"
"Ficus sarmentosa","Plantae","Magnoliopsida","NLC"
"Ficus septica","Plantae","Magnoliopsida","NLC"
"Ficus superba japonica","Plantae","Magnoliopsida","NLC"
"Ficus tannoensis","Plantae","Magnoliopsida","NLC"
"Ficus tinctoria","Plantae","Magnoliopsida","NLC"
"Ficus vaccinioides","Plantae","Magnoliopsida","NLC"
"Ficus variegata garciae","Plantae","Magnoliopsida","NLC"
"Ficus virgata","Plantae","Magnoliopsida","NLC"
"Humulus scandens","Plantae","Magnoliopsida","NLC"
"Maclura cochinchinensis","Plantae","Magnoliopsida","NLC"
"Malaisia scandens","Plantae","Magnoliopsida","NLC"
"Morus australis","Plantae","Magnoliopsida","NLC"
"Vallisneria gigantea","Plantae","Magnoliopsida","DD"
"Vanda lamellata","Plantae","Magnoliopsida","NVU"
"Vanilla somae","Plantae","Magnoliopsida","NLC"
"Vanoverberghia sasakiana","Plantae","Magnoliopsida","NVU"
"Ventilago elegans","Plantae","Magnoliopsida","NLC"
"Ventilago leiocarpa","Plantae","Magnoliopsida","NLC"
"Veratrum formosanum","Plantae","Magnoliopsida","NLC"
"Vernonia cinerea parviflora","Plantae","Magnoliopsida","NLC"
"Vernonia gratiosa","Plantae","Magnoliopsida","NLC"
"Vernonia maritima","Plantae","Magnoliopsida","NVU"
"Vernonia patula","Plantae","Magnoliopsida","NLC"
"Veronica didyma","Plantae","Magnoliopsida","NLC"
"Veronica javanica","Plantae","Magnoliopsida","NLC"
"Veronica linariifolia","Plantae","Magnoliopsida","NLC"
"Veronica morrisonicola","Plantae","Magnoliopsida","NLC"
"Veronica oligosperma","Plantae","Magnoliopsida","NLC"
"Veronica taiwanica","Plantae","Magnoliopsida","NLC"
"Veronica undulata","Plantae","Magnoliopsida","NLC"
"Veronicastrum loshanense","Plantae","Magnoliopsida","NCR"
"Viburnum betulifolium","Plantae","Magnoliopsida","NLC"
"Viburnum erosum","Plantae","Magnoliopsida","NLC"
"Viburnum formosanum","Plantae","Magnoliopsida","NLC"
"Viburnum luzonicum","Plantae","Magnoliopsida","NLC"
"Viburnum odoratissimum","Plantae","Magnoliopsida","NLC"
"Viburnum parvifolium","Plantae","Magnoliopsida","NLC"
"Viburnum propinquum","Plantae","Magnoliopsida","NLC"
"Viburnum sphaerocarpum","Plantae","Magnoliopsida","DD"
"Viburnum sympodiale","Plantae","Magnoliopsida","NLC"
"Viburnum taitoense","Plantae","Magnoliopsida","NLC"
"Viburnum urceolatum","Plantae","Magnoliopsida","NLC"
"Vigna hosei","Plantae","Magnoliopsida","NLC"
"Vigna luteola","Plantae","Magnoliopsida","NLC"
"Vigna marina","Plantae","Magnoliopsida","NLC"
"Vigna radiata sublobata","Plantae","Magnoliopsida","NLC"
"Vigna reflexopilosa","Plantae","Magnoliopsida","NLC"
"Viola arcuata","Plantae","Magnoliopsida","NLC"
"Viola betonicifolia","Plantae","Magnoliopsida","NLC"
"Viola biflora","Plantae","Magnoliopsida","NNT"
"Viola confusa","Plantae","Magnoliopsida","NLC"
"Viola diffusa","Plantae","Magnoliopsida","NLC"
"Viola grypoceras","Plantae","Magnoliopsida","NLC"
"Viola mandshurica","Plantae","Magnoliopsida","NLC"
"Viola senzanensis","Plantae","Magnoliopsida","NLC"
"Viola shinchikuensis","Plantae","Magnoliopsida","NLC"
"Viola tenuis","Plantae","Magnoliopsida","NLC"
"Viscum angulatum","Plantae","Magnoliopsida","NNT"
"Viscum articulatum","Plantae","Magnoliopsida","NLC"
"Viscum multinerve","Plantae","Magnoliopsida","NNT"
"Vitex negundo","Plantae","Magnoliopsida","NLC"
"Vitex rotundifolia","Plantae","Magnoliopsida","NLC"
"Vitex trifolia","Plantae","Magnoliopsida","NVU"
"Vitis amurensis","Plantae","Magnoliopsida","NVU"
"Vitis flexuosa","Plantae","Magnoliopsida","NNT"
"Vitis kelungensis","Plantae","Magnoliopsida","NNT"
"Vrydagzynea nuda","Plantae","Magnoliopsida","NLC"
"Wahlenbergia marginata","Plantae","Magnoliopsida","NLC"
"Waltheria americana","Plantae","Magnoliopsida","NLC"
"Wendlandia formosana","Plantae","Magnoliopsida","NLC"
"Wendlandia luzoniensis","Plantae","Magnoliopsida","NLC"
"Wendlandia uvariifolia","Plantae","Magnoliopsida","NLC"
"Wikstroemia lanceolata","Plantae","Magnoliopsida","NNT"
"Wikstroemia mononectaria","Plantae","Magnoliopsida","NVU"
"Wikstroemia retusa","Plantae","Magnoliopsida","DD"
"Wikstroemia taiwanensis","Plantae","Magnoliopsida","NLC"
"Wolffia arrhiza","Plantae","Magnoliopsida","NLC"
"Xylosma congesta","Plantae","Magnoliopsida","NLC"
"Xyris formosana","Plantae","Magnoliopsida","NCR"
"Yoania japonica","Plantae","Magnoliopsida","NEN"
"Ypsilandra thibetica","Plantae","Magnoliopsida","NLC"
"Yushania niitakayamensis","Plantae","Magnoliopsida","NLC"
"Zannichellia palustris","Plantae","Magnoliopsida","NVU"
"Zanthoxylum acanthopodium","Plantae","Magnoliopsida","NVU"
"Zanthoxylum armatum","Plantae","Magnoliopsida","RE"
"Zanthoxylum pistaciiflorum","Plantae","Magnoliopsida","NEN"
"Zanthoxylum scandens","Plantae","Magnoliopsida","NLC"
"Zanthoxylum schinifolium","Plantae","Magnoliopsida","NLC"
"Zanthoxylum simulans","Plantae","Magnoliopsida","NEN"
"Zanthoxylum wutaiense","Plantae","Magnoliopsida","NEN"
"Zehneria mucronata","Plantae","Magnoliopsida","NLC"
"Zelkova serrata","Plantae","Magnoliopsida","NLC"
"Zeuxine affinis","Plantae","Magnoliopsida","NLC"
"Zeuxine agyokuana","Plantae","Magnoliopsida","NLC"
"Zeuxine integrilabella","Plantae","Magnoliopsida","NVU"
"Zeuxine kantokeiense","Plantae","Magnoliopsida","DD"
"Zeuxine nervosa","Plantae","Magnoliopsida","NLC"
"Zeuxine philippinensis","Plantae","Magnoliopsida","NCR"
"Zeuxine sakagutii","Plantae","Magnoliopsida","NLC"
"Zeuxine tenuifolia","Plantae","Magnoliopsida","NLC"
"Zingiber oligophyllum","Plantae","Magnoliopsida","NEN"
"Zingiber pleiostachyum","Plantae","Magnoliopsida","NLC"
"Zornia cantoniensis","Plantae","Magnoliopsida","NLC"
"Zornia intecta","Plantae","Magnoliopsida","NVU"
"Zostera japonica","Plantae","Magnoliopsida","NLC"
"Zoysia matrella","Plantae","Magnoliopsida","NLC"
"Zoysia pacifica","Plantae","Magnoliopsida","NNT"
"Zoysia sinica","Plantae","Magnoliopsida","NLC"
"Abies kawakamii","Plantae","Pinopsida","NLC"
"Acalypha akoensis","Plantae","Magnoliopsida","DD"
"Acalypha hontauyuensis","Plantae","Magnoliopsida","DD"
"Acer morrisonense","Plantae","Magnoliopsida","NLC"
"Adenophora morrisonensis uehatae","Plantae","Magnoliopsida","NLC"
"Adinandra lasiostyla","Plantae","Magnoliopsida","NLC"
"Aeginetia indica","Plantae","Magnoliopsida","NLC"
"Aeschynanthus acuminatus","Plantae","Magnoliopsida","NLC"
"Aglaia chittagonga","Plantae","Magnoliopsida","NVU"
"Aglaia elliptifolia","Plantae","Magnoliopsida","NLC"
"Agrostis dimorpholemma","Plantae","Magnoliopsida","NEN"
"Ainsliaea secundiflora","Plantae","Magnoliopsida","NVU"
"Ajuga dictyocarpa","Plantae","Magnoliopsida","NVU"
"Ajuga pygmaea","Plantae","Magnoliopsida","NVU"
"Akebia longeracemosa","Plantae","Magnoliopsida","NLC"
"Alniphyllum pterospermum","Plantae","Magnoliopsida","NLC"
"Alpinia nantoensis","Plantae","Magnoliopsida","DD"
"Alpinia oui","Plantae","Magnoliopsida","NLC"
"Alpinia uraiensis","Plantae","Magnoliopsida","NLC"
"Alyxia monticola","Plantae","Magnoliopsida","NNT"
"Alyxia sinensis","Plantae","Magnoliopsida","DD"
"Alyxia taiwanensis","Plantae","Magnoliopsida","NNT"
"Amentotaxus formosana","Plantae","Pinopsida","NEN"
"Amitostigma alpestre","Plantae","Magnoliopsida","NLC"
"Ammannia baccifera","Plantae","Magnoliopsida","NLC"
"Amorphophallus hirtus","Plantae","Magnoliopsida","NLC"
"Anaphalis horaimontana","Plantae","Magnoliopsida","NLC"
"Angelica hirsutiflora","Plantae","Magnoliopsida","NVU"
"Angelica tarokoensis","Plantae","Magnoliopsida","NEN"
"Aniselytron agrostoides","Plantae","Magnoliopsida","NLC"
"Anoectochilus formosanus","Plantae","Magnoliopsida","NLC"
"Anoectochilus koshunensis","Plantae","Magnoliopsida","NLC"
"Aphyllorchis simplex","Plantae","Magnoliopsida","DD"
"Apios taiwanianus","Plantae","Magnoliopsida","NEN"
"Arabidopsis halleri gemmifera","Plantae","Magnoliopsida","NEN"
"Aralia decaisneana","Plantae","Magnoliopsida","NLC"
"Ardisia japonica","Plantae","Magnoliopsida","NLC"
"Ardisia pusilla","Plantae","Magnoliopsida","NLC"
"Ardisia virens","Plantae","Magnoliopsida","NLC"
"Arenaria serpyllifolia","Plantae","Magnoliopsida","NLC"
"Argyreia akoensis","Plantae","Magnoliopsida","NCR"
"Arisaema ilanense","Plantae","Magnoliopsida","NVU"
"Arisaema nanjenense","Plantae","Magnoliopsida","NVU"
"Aristida chinensis","Plantae","Magnoliopsida","NCR"
"Isotrema cucurbitifolium","Plantae","Magnoliopsida","NVU"
"Aristolochia foveolata","Plantae","Magnoliopsida","NNT"
"Aristolochia heterophylla","Plantae","Magnoliopsida","NLC"
"Artemisia anomala","Plantae","Magnoliopsida","NNT"
"Artemisia capillaris","Plantae","Magnoliopsida","NLC"
"Artemisia chingii","Plantae","Magnoliopsida","NLC"
"Artemisia fukudo","Plantae","Magnoliopsida","NLC"
"Artemisia kawakamii","Plantae","Magnoliopsida","NLC"
"Artemisia niitakayamensis","Plantae","Magnoliopsida","NLC"
"Artemisia oligocarpa","Plantae","Magnoliopsida","NLC"
"Artemisia simulans","Plantae","Magnoliopsida","NLC"
"Arthraxon pauciflorus","Plantae","Magnoliopsida","DD"
"Arthraxon quartinianus","Plantae","Magnoliopsida","NLC"
"Asarum chatienshanianum","Plantae","Magnoliopsida","NEN"
"Asarum crassisepalum","Plantae","Magnoliopsida","NVU"
"Asarum epigynum","Plantae","Magnoliopsida","NVU"
"Asarum satsumense","Plantae","Magnoliopsida","NEN"
"Asarum taipingshanianum","Plantae","Magnoliopsida","NVU"
"Asarum tawushanianum","Plantae","Magnoliopsida","NCR"
"Asarum villisepalum","Plantae","Magnoliopsida","NEN"
"Asarum yaeyamense","Plantae","Magnoliopsida","NEN"
"Aspidistra daibuensis","Plantae","Magnoliopsida","NLC"
"Aster altaicus","Plantae","Magnoliopsida","NEN"
"Aster chingshuiensis","Plantae","Magnoliopsida","NEN"
"Aster formosanus","Plantae","Magnoliopsida","NLC"
"Aster indicus","Plantae","Magnoliopsida","NLC"
"Aster itsunboshi","Plantae","Magnoliopsida","DD"
"Aster lasiocladus","Plantae","Magnoliopsida","NLC"
"Aster morrisonensis","Plantae","Magnoliopsida","NEN"
"Aster oldhamii","Plantae","Magnoliopsida","NLC"
"Aster ovalifolius","Plantae","Magnoliopsida","NEN"
"Aster taiwanensis","Plantae","Magnoliopsida","NLC"
"Aster taoyuenensis","Plantae","Magnoliopsida","NEN"
"Astilbe macroflora","Plantae","Magnoliopsida","NLC"
"Astragalus nankotaizanensis","Plantae","Magnoliopsida","NEN"
"Astragalus nokoensis","Plantae","Magnoliopsida","NVU"
"Atriplex maximowicziana","Plantae","Magnoliopsida","NLC"
"Atriplex nummularia","Plantae","Magnoliopsida","DD"
"Aucuba chinensis","Plantae","Magnoliopsida","NLC"
"Aucuba japonica","Plantae","Magnoliopsida","NLC"
"Avicennia marina","Plantae","Magnoliopsida","NLC"
"Bacopa monnieri","Plantae","Magnoliopsida","NLC"
"Balanophora fungosa","Plantae","Magnoliopsida","NVU"
"Balanophora japonica","Plantae","Magnoliopsida","NCR"
"Balanophora wrightii","Plantae","Magnoliopsida","NVU"
"Balanophora yakushimensis","Plantae","Magnoliopsida","NEN"
"Bambusa dolichoclada","Plantae","Magnoliopsida","NLC"
"Bambusa dolichomerithalla","Plantae","Magnoliopsida","NLC"
"Bambusa utilis","Plantae","Magnoliopsida","DD"
"Barbarea taiwaniana","Plantae","Magnoliopsida","NEN"
"Phanera championii","Plantae","Magnoliopsida","NLC"
"Begonia austrotaiwanensis","Plantae","Magnoliopsida","NVU"
"Begonia bouffordii","Plantae","Magnoliopsida","NEN"
"Begonia chitoensis","Plantae","Magnoliopsida","NLC"
"Begonia chuyunshanensis","Plantae","Magnoliopsida","NVU"
"Begonia lukuana","Plantae","Magnoliopsida","NVU"
"Begonia nantoensis","Plantae","Magnoliopsida","NLC"
"Begonia pinglinensis","Plantae","Magnoliopsida","NNT"
"Begonia ravenii","Plantae","Magnoliopsida","NNT"
"Begonia taiwaniana","Plantae","Magnoliopsida","NLC"
"Begonia tengchiana","Plantae","Magnoliopsida","NVU"
"Begonia wutaiana","Plantae","Magnoliopsida","NVU"
"Berberis aristatoserrulata","Plantae","Magnoliopsida","DD"
"Berberis brevisepala","Plantae","Magnoliopsida","NNT"
"Berberis chingshuiensis","Plantae","Magnoliopsida","NCR"
"Berberis hayatana","Plantae","Magnoliopsida","NNT"
"Berberis morrisonensis","Plantae","Magnoliopsida","NLC"
"Berberis nantoensis","Plantae","Magnoliopsida","NVU"
"Berberis pengii","Plantae","Magnoliopsida","NNT"
"Berberis ravenii","Plantae","Magnoliopsida","DD"
"Berberis schaaliae","Plantae","Magnoliopsida","NNT"
"Berberis tarokoensis","Plantae","Magnoliopsida","NCR"
"Berchemia arisanensis","Plantae","Magnoliopsida","NVU"
"Berchemia fenchifuensis","Plantae","Magnoliopsida","NEN"
"Berchemia formosana","Plantae","Magnoliopsida","NLC"
"Berchemia lineata","Plantae","Magnoliopsida","NLC"
"Bergia ammannioides","Plantae","Magnoliopsida","NNT"
"Berrya ammonilla","Plantae","Magnoliopsida","NEN"
"Blumea conspicua","Plantae","Magnoliopsida","NVU"
"Blumea formosana","Plantae","Magnoliopsida","NLC"
"Blumea linearis","Plantae","Magnoliopsida","NVU"
"Blumea mollis","Plantae","Magnoliopsida","NLC"
"Blumea oblongifolia","Plantae","Magnoliopsida","NVU"
"Boehmeria densiflora","Plantae","Magnoliopsida","NLC"
"Boehmeria hwaliensis","Plantae","Magnoliopsida","NVU"
"Boehmeria longispica","Plantae","Magnoliopsida","NEN"
"Boehmeria pilosiuscula","Plantae","Magnoliopsida","NLC"
"Boehmeria pilushanensis","Plantae","Magnoliopsida","NVU"
"Bonnaya antipoda","Plantae","Magnoliopsida","NLC"
"Bothriochloa glabra","Plantae","Magnoliopsida","NLC"
"Bredia dulanica","Plantae","Magnoliopsida","NVU"
"Bredia oldhamii","Plantae","Magnoliopsida","NLC"
"Bretschneidera sinensis","Plantae","Magnoliopsida","NLC"
"Bromus formosanus","Plantae","Magnoliopsida","NNT"
"Buddleja asiatica","Plantae","Magnoliopsida","NLC"
"Bulbophyllum brevipedunculatum","Plantae","Magnoliopsida","NVU"
"Bulbophyllum ciliisepalum","Plantae","Magnoliopsida","NEN"
"Bulbophyllum confragosum","Plantae","Magnoliopsida","DD"
"Bulbophyllum fimbriperianthium","Plantae","Magnoliopsida","NCR"
"Bulbophyllum hymenanthum","Plantae","Magnoliopsida","NNT"
"Bulbophyllum omerandrum","Plantae","Magnoliopsida","NLC"
"Bulbophyllum umbellatum","Plantae","Magnoliopsida","NLC"
"Bupleurum kaoi","Plantae","Magnoliopsida","NEN"
"Calamagrostis arundinacea","Plantae","Magnoliopsida","NLC"
"Calamus beccarii","Plantae","Magnoliopsida","NLC"
"Calanthe kinabaluensis","Plantae","Magnoliopsida","DD"
"Calathodes polycarpa","Plantae","Magnoliopsida","NEN"
"Caldesia grandis","Plantae","Magnoliopsida","NCR"
"Callicarpa hypoleucophylla","Plantae","Magnoliopsida","NVU"
"Callicarpa japonica luxurians","Plantae","Magnoliopsida","NLC"
"Callicarpa longissima","Plantae","Magnoliopsida","NNT"
"Callicarpa randaiensis","Plantae","Magnoliopsida","NLC"
"Callicarpa remotiflora","Plantae","Magnoliopsida","NNT"
"Callicarpa remotiserrulata","Plantae","Magnoliopsida","NLC"
"Callicarpa tikusikensis","Plantae","Magnoliopsida","NLC"
"Callitriche japonica","Plantae","Magnoliopsida","NLC"
"Callitriche raveniana","Plantae","Magnoliopsida","DD"
"Calocedrus macrolepis","Plantae","Pinopsida","NVU"
"Calocedrus macrolepis formosana","Plantae","Pinopsida","NVU"
"Calophyllum blancoi","Plantae","Magnoliopsida","NEN"
"Calophyllum inophyllum","Plantae","Magnoliopsida","NLC"
"Camellia nokoensis","Plantae","Magnoliopsida","NVU"
"Camellia transnokoensis","Plantae","Magnoliopsida","NLC"
"Canavalia lineata","Plantae","Magnoliopsida","NLC"
"Canthium gynochodes","Plantae","Magnoliopsida","NNT"
"Capparis floribunda","Plantae","Magnoliopsida","NVU"
"Capparis lanceolaris","Plantae","Magnoliopsida","NCR"
"Capparis sabiifolia","Plantae","Magnoliopsida","NLC"
"Cardamine agyokumontana","Plantae","Magnoliopsida","DD"
"Cardamine impatiens","Plantae","Magnoliopsida","NLC"
"Cardamine nipponica","Plantae","Magnoliopsida","DD"
"Carex alliiformis","Plantae","Magnoliopsida","NNT"
"Carex alopecuroides","Plantae","Magnoliopsida","NLC"
"Carex alterniflora","Plantae","Magnoliopsida","NLC"
"Carex arisanensis","Plantae","Magnoliopsida","NLC"
"Carex atrata","Plantae","Magnoliopsida","NLC"
"Carex baccans","Plantae","Magnoliopsida","NLC"
"Carex bilateralis","Plantae","Magnoliopsida","NLC"
"Carex brachyanthera","Plantae","Magnoliopsida","NLC"
"Carex breviculmis","Plantae","Magnoliopsida","NLC"
"Carex brevicuspis","Plantae","Magnoliopsida","NNT"
"Carex breviscapa","Plantae","Magnoliopsida","NLC"
"Carex brownii","Plantae","Magnoliopsida","DD"
"Carex brunnea","Plantae","Magnoliopsida","NLC"
"Carex capillacea","Plantae","Magnoliopsida","NNT"
"Carex jisaburo-ohwiana","Plantae","Magnoliopsida","NNT"
"Carex chrysolepis","Plantae","Magnoliopsida","NLC"
"Carex cryptostachys","Plantae","Magnoliopsida","NVU"
"Carex daxinensis","Plantae","Magnoliopsida","DD"
"Carex doniana","Plantae","Magnoliopsida","NLC"
"Carex echinata","Plantae","Magnoliopsida","NNT"
"Carex fernaldiana","Plantae","Magnoliopsida","NLC"
"Carex filicina","Plantae","Magnoliopsida","NLC"
"Carex formosensis","Plantae","Magnoliopsida","NLC"
"Carex fulvorubescens","Plantae","Magnoliopsida","NLC"
"Carex hoozanensis","Plantae","Magnoliopsida","NLC"
"Carex kiotensis","Plantae","Magnoliopsida","NLC"
"Carex kobomugi","Plantae","Magnoliopsida","NCR"
"Carex laticeps","Plantae","Magnoliopsida","NEN"
"Carex liui","Plantae","Magnoliopsida","NLC"
"Carex longistipes","Plantae","Magnoliopsida","NLC"
"Carex macrandrolepis","Plantae","Magnoliopsida","NLC"
"Carex maculata","Plantae","Magnoliopsida","NLC"
"Carex makinoensis","Plantae","Magnoliopsida","NLC"
"Carex manca takasagoana","Plantae","Magnoliopsida","NLC"
"Carex metallica","Plantae","Magnoliopsida","RE"
"Carex mollicula","Plantae","Magnoliopsida","NNT"
"Carex morii","Plantae","Magnoliopsida","NLC"
"Carex nemostachys","Plantae","Magnoliopsida","NNT"
"Carex nubigena","Plantae","Magnoliopsida","NLC"
"Carex orthostemon","Plantae","Magnoliopsida","NLC"
"Carex oxyandra","Plantae","Magnoliopsida","NLC"
"Carex perakensis","Plantae","Magnoliopsida","NLC"
"Carex phacota","Plantae","Magnoliopsida","NLC"
"Carex pumila","Plantae","Magnoliopsida","NLC"
"Carex purpureotincta","Plantae","Magnoliopsida","NVU"
"Carex rafflesiana","Plantae","Magnoliopsida","NNT"
"Carex rhynchachaenium","Plantae","Magnoliopsida","NLC"
"Carex scabrifolia","Plantae","Magnoliopsida","RE"
"Carex scaposa","Plantae","Magnoliopsida","NEN"
"Carex sclerocarpa","Plantae","Magnoliopsida","NLC"
"Carex subfilicinoides","Plantae","Magnoliopsida","DD"
"Carex taihokuensis","Plantae","Magnoliopsida","NLC"
"Carex urelytra","Plantae","Magnoliopsida","NLC"
"Carex wahuensis","Plantae","Magnoliopsida","NLC"
"Carpesium abrotanoides","Plantae","Magnoliopsida","NVU"
"Carpesium cernuum","Plantae","Magnoliopsida","NVU"
"Carpesium divaricatum","Plantae","Magnoliopsida","NNT"
"Carpesium minus","Plantae","Magnoliopsida","NLC"
"Carpesium nepalense","Plantae","Magnoliopsida","NLC"
"Carpinus hebestroma","Plantae","Magnoliopsida","NLC"
"Carpinus kawakamii","Plantae","Magnoliopsida","NLC"
"Carpinus rankanensis","Plantae","Magnoliopsida","NLC"
"Caryopteris incana","Plantae","Magnoliopsida","NLC"
"Casearia membranacea","Plantae","Magnoliopsida","NLC"
