"new_simple_name","kingdom","class","new_redlistTW"
"Dicranopteris linearis","Plantae","Polypodiopsida","NLC"
"Dicranopteris subpectinata","Plantae","Polypodiopsida","DD"
"Dicranopteris taiwanensis","Plantae","Polypodiopsida","NLC"
"Dicranopteris tetraphylla","Plantae","Polypodiopsida","NLC"
"Diplopterygium blotianum","Plantae","Polypodiopsida","NLC"
"Diplopterygium chinensis","Plantae","Polypodiopsida","NLC"
"Diplopterygium glaucum","Plantae","Polypodiopsida","NLC"
"Diplopterygium laevissimum","Plantae","Polypodiopsida","NLC"
"Cheiropleuria integrifolia","Plantae","Polypodiopsida","NLC"
"Dipteris conjugata","Plantae","Polypodiopsida","NLC"
"Lygodium japonicum","Plantae","Polypodiopsida","NLC"
"Lygodium microphyllum","Plantae","Polypodiopsida","NVU"
"Actinostachys digitata","Plantae","Polypodiopsida","NVU"
"Schizaea dichotoma","Plantae","Polypodiopsida","NCR"
"Azolla pinnata","Plantae","Polypodiopsida","DD"
"Salvinia natans","Plantae","Polypodiopsida","NCR"
"Plagiogyria adnata","Plantae","Polypodiopsida","NLC"
"Plagiogyria euphlebia","Plantae","Polypodiopsida","NLC"
"Plagiogyria falcata","Plantae","Polypodiopsida","NLC"
"Plagiogyria glauca","Plantae","Polypodiopsida","NLC"
"Plagiogyria japonica","Plantae","Polypodiopsida","NVU"
"Plagiogyria koidzumii","Plantae","Polypodiopsida","NCR"
"Plagiogyria stenoptera","Plantae","Polypodiopsida","NLC"
"Alsophila metteniana","Plantae","Polypodiopsida","NLC"
"Alsophila podophylla","Plantae","Polypodiopsida","NLC"
"Sphaeropteris lepifera","Plantae","Polypodiopsida","NLC"
"Cibotium barometz","Plantae","Polypodiopsida","NLC"
"Cibotium taiwanense","Plantae","Polypodiopsida","NLC"
"Lindsaea chienii","Plantae","Polypodiopsida","NLC"
"Lindsaea cultrata","Plantae","Polypodiopsida","NVU"
"Lindsaea ensifolia","Plantae","Polypodiopsida","NNT"
"Lindsaea kawabatae","Plantae","Polypodiopsida","NVU"
"Lindsaea lucida","Plantae","Polypodiopsida","NVU"
"Lindsaea obtusa","Plantae","Polypodiopsida","NNT"
"Lindsaea orbiculata","Plantae","Polypodiopsida","NLC"
"Odontosoria biflora","Plantae","Polypodiopsida","NLC"
"Odontosoria chinensis","Plantae","Polypodiopsida","NLC"
"Odontosoria gracilis","Plantae","Polypodiopsida","NNT"
"Osmolindsaea japonica","Plantae","Polypodiopsida","NLC"
"Tapeinidium pinnatum","Plantae","Polypodiopsida","NLC"
"Coniogramme fraxinea","Plantae","Polypodiopsida","NLC"
"Coniogramme intermedia","Plantae","Polypodiopsida","NLC"
"Coniogramme japonica","Plantae","Polypodiopsida","NLC"
"Coniogramme procera","Plantae","Polypodiopsida","NLC"
"Cryptogramma brunoniana","Plantae","Polypodiopsida","NLC"
"Cryptogramma stelleri","Plantae","Polypodiopsida","NNT"
"Acrostichum aureum","Plantae","Polypodiopsida","NVU"
"Ceratopteris thalictroides","Plantae","Polypodiopsida","NLC"
"Anogramma leptophylla","Plantae","Polypodiopsida","NNT"
"Onychium japonicum","Plantae","Polypodiopsida","NLC"
"Onychium lucidum","Plantae","Polypodiopsida","NLC"
"Onychium siliculosum","Plantae","Polypodiopsida","NNT"
"Pteris angustipinna","Plantae","Polypodiopsida","NCR"
"Pteris arisanensis","Plantae","Polypodiopsida","NLC"
"Pteris bella","Plantae","Polypodiopsida","NNT"
"Pteris biaurita","Plantae","Polypodiopsida","NLC"
"Pteris cadieri","Plantae","Polypodiopsida","NLC"
"Pteris dactylina","Plantae","Polypodiopsida","NLC"
"Pteris deltodon","Plantae","Polypodiopsida","NLC"
"Pteris ensiformis","Plantae","Polypodiopsida","NLC"
"Pteris esquirolii","Plantae","Polypodiopsida","DD"
"Pteris formosana","Plantae","Polypodiopsida","NLC"
"Pteris incurvata","Plantae","Polypodiopsida","NLC"
"Pteris kawabatae","Plantae","Polypodiopsida","NVU"
"Pteris kidoi","Plantae","Polypodiopsida","NNT"
"Pteris latipinna","Plantae","Polypodiopsida","NVU"
"Pteris longipes","Plantae","Polypodiopsida","NLC"
"Pteris longipinna","Plantae","Polypodiopsida","NLC"
"Pteris multifida","Plantae","Polypodiopsida","NLC"
"Pteris venusta","Plantae","Polypodiopsida","NEN"
"Pteris perplexa","Plantae","Polypodiopsida","NLC"
"Pteris ryukyuensis","Plantae","Polypodiopsida","NNT"
"Pteris scabristipes","Plantae","Polypodiopsida","NLC"
"Pteris semipinnata","Plantae","Polypodiopsida","NLC"
"Pteris subesquirolii","Plantae","Polypodiopsida","NNT"
"Pteris tripartita","Plantae","Polypodiopsida","DD"
"Pteris vittata","Plantae","Polypodiopsida","NLC"
"Pteris wallichiana","Plantae","Polypodiopsida","NLC"
"Pteris × wulaiensis","Plantae","Polypodiopsida","NCR"
"Aleuritopteris argentea","Plantae","Polypodiopsida","NLC"
"Aleuritopteris formosana","Plantae","Polypodiopsida","NLC"
"Aleuritopteris subargentea","Plantae","Polypodiopsida","DD"
"Cheilanthes chusana","Plantae","Polypodiopsida","NLC"
"Cheilanthes tenuifolia","Plantae","Polypodiopsida","NLC"
"Doryopteris concolor","Plantae","Polypodiopsida","NLC"
"Paragymnopteris vestita","Plantae","Polypodiopsida","NEN"
"Parahemionitis arifolia","Plantae","Polypodiopsida","NVU"
"Adiantum capillus-junonis","Plantae","Polypodiopsida","NCR"
"Adiantum caudatum","Plantae","Polypodiopsida","NLC"
"Adiantum diaphanum","Plantae","Polypodiopsida","NLC"
"Adiantum edgeworthii","Plantae","Polypodiopsida","NLC"
"Adiantum flabellulatum","Plantae","Polypodiopsida","NLC"
"Adiantum formosanum","Plantae","Polypodiopsida","NVU"
"Adiantum hispidulum","Plantae","Polypodiopsida","NLC"
"Adiantum menglianense","Plantae","Polypodiopsida","DD"
"Adiantum monochlamys","Plantae","Polypodiopsida","NEN"
"Adiantum myriosorum","Plantae","Polypodiopsida","NVU"
"Adiantum philippense","Plantae","Polypodiopsida","NLC"
"Adiantum soboliferum","Plantae","Polypodiopsida","NVU"
"Antrophyum castaneum","Plantae","Polypodiopsida","NVU"
"Antrophyum formosanum","Plantae","Polypodiopsida","NLC"
"Antrophyum henryi","Plantae","Polypodiopsida","NVU"
"Antrophyum obovatum","Plantae","Polypodiopsida","NLC"
"Antrophyum parvulum","Plantae","Polypodiopsida","NVU"
"Antrophyum sessilifolium","Plantae","Polypodiopsida","NNT"
"Haplopteris heterophylla","Plantae","Polypodiopsida","NCR"
"Vaginularia junghuhnii","Plantae","Polypodiopsida","NNT"
"Vaginularia trichoidea","Plantae","Polypodiopsida","NCR"
"Dennstaedtia hirsuta","Plantae","Polypodiopsida","NLC"
"Dennstaedtia scandens","Plantae","Polypodiopsida","NLC"
"Microlepia smithii","Plantae","Polypodiopsida","NLC"
"Histiopteris incisa","Plantae","Polypodiopsida","NLC"
"Hypolepis alpina","Plantae","Polypodiopsida","NLC"
"Hypolepis pallida","Plantae","Polypodiopsida","NEN"
"Hypolepis punctata","Plantae","Polypodiopsida","NLC"
"Hypolepis tenuifolia","Plantae","Polypodiopsida","NLC"
"Microlepia calvescens","Plantae","Polypodiopsida","NLC"
"Microlepia hookeriana","Plantae","Polypodiopsida","NLC"
"Microlepia krameri","Plantae","Polypodiopsida","NLC"
"Microlepia marginata","Plantae","Polypodiopsida","NLC"
"Microlepia nepalensis","Plantae","Polypodiopsida","NLC"
"Microlepia obtusiloba","Plantae","Polypodiopsida","NLC"
"Microlepia platyphylla","Plantae","Polypodiopsida","NCR"
"Microlepia rhomboidea","Plantae","Polypodiopsida","NVU"
"Microlepia sinostrigosa","Plantae","Polypodiopsida","DD"
"Microlepia speluncae","Plantae","Polypodiopsida","NLC"
"Microlepia strigosa","Plantae","Polypodiopsida","NLC"
"Microlepia substrigosa","Plantae","Polypodiopsida","NLC"
"Microlepia tenera","Plantae","Polypodiopsida","NLC"
"Microlepia trichocarpa","Plantae","Polypodiopsida","NNT"
"Microlepia trichosora","Plantae","Polypodiopsida","NLC"
"Microlepia × bipinnata","Plantae","Polypodiopsida","NLC"
"Microlepia × intramarginalis","Plantae","Polypodiopsida","NLC"
"Monachosorum henryi","Plantae","Polypodiopsida","NLC"
"Monachosorum maximowiczii","Plantae","Polypodiopsida","NLC"
"Paesia luzonica","Plantae","Polypodiopsida","NCR"
"Bolbitis angustipinna","Plantae","Polypodiopsida","NLC"
"Bolbitis appendiculata","Plantae","Polypodiopsida","NLC"
"Bolbitis heteroclita","Plantae","Polypodiopsida","NLC"
"Bolbitis rhizophylla","Plantae","Polypodiopsida","NNT"
"Bolbitis scalpturata","Plantae","Polypodiopsida","NVU"
"Bolbitis subcordata","Plantae","Polypodiopsida","NLC"
"Elaphoglossum angulatum","Plantae","Polypodiopsida","NLC"
"Elaphoglossum callifolium","Plantae","Polypodiopsida","NVU"
"Elaphoglossum commutatum","Plantae","Polypodiopsida","NCR"
"Elaphoglossum luzonicum","Plantae","Polypodiopsida","NVU"
"Elaphoglossum marginatum","Plantae","Polypodiopsida","NLC"
"Elaphoglossum yoshinagae","Plantae","Polypodiopsida","NLC"
"Lastreopsis tenera","Plantae","Polypodiopsida","NNT"
"Pleocnemia winitii","Plantae","Polypodiopsida","NLC"
"Arachniodes aristata","Plantae","Polypodiopsida","NLC"
"Arachniodes festina","Plantae","Polypodiopsida","NLC"
"Arachniodes globisora","Plantae","Polypodiopsida","NNT"
"Arachniodes nigrospinosa","Plantae","Polypodiopsida","NNT"
"Arachniodes pseudoaristata","Plantae","Polypodiopsida","NLC"
"Arachniodes quadripinnata","Plantae","Polypodiopsida","NLC"
"Ctenitis eatonii","Plantae","Polypodiopsida","NLC"
"Ctenitis subglandulosa","Plantae","Polypodiopsida","NLC"
"Cyrtomium anomophyllum","Plantae","Polypodiopsida","NLC"
"Cyrtomium caryotideum","Plantae","Polypodiopsida","NLC"
"Cyrtomium devexiscapulae","Plantae","Polypodiopsida","NLC"
"Cyrtomium fortunei","Plantae","Polypodiopsida","NVU"
"Cyrtomium macrophyllum","Plantae","Polypodiopsida","NEN"
"Cyrtomium taiwanianum","Plantae","Polypodiopsida","NVU"
"Cyrtomium simadae","Plantae","Polypodiopsida","NEN"
"Dryopteris alpestris","Plantae","Polypodiopsida","NLC"
"Dryopteris apiciflora","Plantae","Polypodiopsida","NLC"
"Dryopteris atrata","Plantae","Polypodiopsida","NLC"
"Dryopteris cacaina","Plantae","Polypodiopsida","NLC"
"Dryopteris championii","Plantae","Polypodiopsida","NVU"
"Dryopteris costalisora","Plantae","Polypodiopsida","NLC"
"Dryopteris cycadina","Plantae","Polypodiopsida","NLC"
"Dryopteris dickinsii","Plantae","Polypodiopsida","NEN"
"Dryopteris diffracta","Plantae","Polypodiopsida","NLC"
"Dryopteris enneaphylla","Plantae","Polypodiopsida","NLC"
"Dryopteris erythrosora","Plantae","Polypodiopsida","NEN"
"Dryopteris formosana","Plantae","Polypodiopsida","NLC"
"Dryopteris fructuosa","Plantae","Polypodiopsida","NLC"
"Dryopteris hasseltii","Plantae","Polypodiopsida","NLC"
"Dryopteris hendersonii","Plantae","Polypodiopsida","NLC"
"Dryopteris indusiata","Plantae","Polypodiopsida","NNT"
"Dryopteris integriloba","Plantae","Polypodiopsida","DD"
"Dryopteris kinkiensis","Plantae","Polypodiopsida","NEN"
"Dryopteris komarovii","Plantae","Polypodiopsida","DD"
"Dryopteris kwanzanensis","Plantae","Polypodiopsida","DD"
"Dryopteris lacera","Plantae","Polypodiopsida","NVU"
"Dryopteris lachoongensis","Plantae","Polypodiopsida","NLC"
"Dryopteris lepidopoda","Plantae","Polypodiopsida","NLC"
"Dryopteris marginata","Plantae","Polypodiopsida","NLC"
"Dryopteris maximowicziana","Plantae","Polypodiopsida","NVU"
"Dryopteris melanocarpa","Plantae","Polypodiopsida","NLC"
"Dryopteris namegatae","Plantae","Polypodiopsida","NVU"
"Dryopteris peranema","Plantae","Polypodiopsida","NLC"
"Dryopteris polita","Plantae","Polypodiopsida","NLC"
"Dryopteris pseudolunanensis","Plantae","Polypodiopsida","NLC"
"Dryopteris pseudosieboldii","Plantae","Polypodiopsida","NNT"
"Dryopteris redactopinnata","Plantae","Polypodiopsida","NLC"
"Dryopteris reflexosquamata","Plantae","Polypodiopsida","NLC"
"Dryopteris ryo-itoana","Plantae","Polypodiopsida","NVU"
"Dryopteris scottii","Plantae","Polypodiopsida","NLC"
"Dryopteris serratodentata","Plantae","Polypodiopsida","NLC"
"Dryopteris sordidipes","Plantae","Polypodiopsida","NLC"
"Dryopteris sparsa","Plantae","Polypodiopsida","NLC"
"Dryopteris squamiseta","Plantae","Polypodiopsida","NLC"
"Dryopteris stenolepis","Plantae","Polypodiopsida","NLC"
"Dryopteris subatrata","Plantae","Polypodiopsida","NLC"
"Dryopteris subexaltata","Plantae","Polypodiopsida","NLC"
"Dryopteris sublacera","Plantae","Polypodiopsida","DD"
"Dryopteris subtriangularis","Plantae","Polypodiopsida","DD"
"Dryopteris tenuipes","Plantae","Polypodiopsida","DD"
"Dryopteris toyamae","Plantae","Polypodiopsida","NEN"
"Dryopteris varia","Plantae","Polypodiopsida","NLC"
"Dryopteris yoroii","Plantae","Polypodiopsida","NEN"
"Polystichum acanthophyllum","Plantae","Polypodiopsida","NLC"
"Polystichum acutidens","Plantae","Polypodiopsida","NLC"
"Polystichum atkinsonii","Plantae","Polypodiopsida","NLC"
"Polystichum attenuatum","Plantae","Polypodiopsida","NCR"
"Polystichum capillipes","Plantae","Polypodiopsida","NCR"
"Polystichum chunii","Plantae","Polypodiopsida","NCR"
"Polystichum pseudodeltodon","Plantae","Polypodiopsida","NLC"
"Polystichum formosanum","Plantae","Polypodiopsida","NLC"
"Polystichum fraxinellum","Plantae","Polypodiopsida","NVU"
"Polystichum glaciale","Plantae","Polypodiopsida","NVU"
"Polystichum grandifrons","Plantae","Polypodiopsida","NCR"
"Polystichum hancockii","Plantae","Polypodiopsida","NLC"
"Polystichum hecatopterum","Plantae","Polypodiopsida","NLC"
"Polystichum herbaceum","Plantae","Polypodiopsida","NCR"
"Polystichum lachenense","Plantae","Polypodiopsida","NLC"
"Polystichum lepidocaulon","Plantae","Polypodiopsida","NLC"
"Polystichum manmeiense","Plantae","Polypodiopsida","NLC"
"Polystichum mucronifolium","Plantae","Polypodiopsida","NLC"
