"taxonUUID","taxonRank","kingdom","simplifiedScientificName","protectedStatusTW","new_protected","source_process"
"d08669ba-8e9e-4d01-b96e-4265d17bc96d","species","Animalia","Hypsiscopus wettsteini","","其他應予保育之野生動物","protected_change_output"
"52de4e15-0819-4346-bd73-505256a30d9e","species","Animalia","Pteropus dasymallus","瀕臨絕種保育類野生動物","珍貴稀有保育類野生動物","protected_change_output"
"96acaa9b-0412-4853-8168-fccd12166426","species","Animalia","Prionailurus bengalensis","瀕臨絕種保育類野生動物","珍貴稀有保育類野生動物","protected_change_output"
"12893a44-eca8-44a1-955f-970705f53bc4","species","Animalia","Manis pentadactyla","珍貴稀有保育類野生動物","瀕臨絕種保育類野生動物","protected_change_output"
"ce128479-d544-417d-a4c2-d1d715a7673f","species","Animalia","Circus aeruginosus","","珍貴稀有保育類野生動物","protected_change_output"
"7d0dd940-e215-42bd-b359-02d39268612f","species","Animalia","Nidirana shyhhuangi","","珍貴稀有保育類野生動物","protected_change_output"
