"taxonUUID","taxonRank","parentUUID","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","is_hybrid","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","corrected_iucn","corrected_redlistTW","corrected_protected","comparison_name","comparison_IUCN","comparison_redlistTW","comparison_protected"
"3a5b4c25-b269-470e-9013-8127906deda6","infraspecies","963cbb96-eb8b-4048-82d7-d02e1a7487d2","t0086323","Tachytes sinensis fundatus","Animalia","Insecta","native","","","","","",NA,"infraspecies","Tachytes sinensis fundatus","FALSE","FALSE","native","","","","Tachytes","sinensis","fundatus","","","",TRUE,TRUE,TRUE,TRUE
"8430f410-dd30-4735-b5b8-b419e8b1ef60","infraspecies","708274bb-e422-4257-a4da-ee19e1e547b5","t0086396","Trypoxylon fronticorne shirozui","Animalia","Insecta","native","","","","","",NA,"infraspecies","Trypoxylon fronticorne shirozui","FALSE","FALSE","native","","","","Trypoxylon","fronticorne","shirozui","","","",TRUE,TRUE,TRUE,TRUE
"7598a83d-9100-4e79-a601-c677dc37d080","infraspecies","708274bb-e422-4257-a4da-ee19e1e547b5","t0086395","Trypoxylon fronticorne obliquum","Animalia","Insecta","native","","","","","",NA,"infraspecies","Trypoxylon fronticorne obliquum","FALSE","FALSE","native","","","","Trypoxylon","fronticorne","obliquum","","","",TRUE,TRUE,TRUE,TRUE
"f5a33e50-751b-4700-a6c8-8e2fcee1598e","infraspecies","3e46a5cd-eff5-4f0b-8808-4a98267272c5","t0086397","Trypoxylon nipponicum puliense","Animalia","Insecta","native","","","","","",NA,"infraspecies","Trypoxylon nipponicum puliense","FALSE","FALSE","native","","","","Trypoxylon","nipponicum","puliense","","","",TRUE,TRUE,TRUE,TRUE
"13d2d0ff-f575-4353-9c2b-18fccd60f6d2","infraspecies","3b47a425-93c1-4494-88e2-7458eb4c92f0","t0086398","Trypoxylon regium taiwanum","Animalia","Insecta","native","","","","","",NA,"infraspecies","Trypoxylon regium taiwanum","FALSE","FALSE","native","","","","Trypoxylon","regium","taiwanum","","","",TRUE,TRUE,TRUE,TRUE
"316c0594-e02a-4dd7-a5f5-80cebe8e8c3b","infraspecies","881a4049-270c-43f9-9c53-1ca0990c9c23","t0086399","Trypoxylon schmiedeknechtii hungtouense","Animalia","Insecta","native","","","","","",NA,"infraspecies","Trypoxylon schmiedeknechtii hungtouense","FALSE","FALSE","native","","","","Trypoxylon","schmiedeknechtii","hungtouense","","","",TRUE,TRUE,TRUE,TRUE
"b469f2fa-c9ab-4e35-8cb7-014a55ea4f47","infraspecies","7f37ce27-f462-475e-b759-89efa82ce1d6","t0085868","Lyroda japonica takasago","Animalia","Insecta","native","","","","","",NA,"infraspecies","Lyroda japonica takasago","FALSE","FALSE","native","","","","Lyroda","japonica","takasago","","","",TRUE,TRUE,TRUE,TRUE
"a85a0f83-120b-4708-8e7f-1a97c06ecfcb","infraspecies","158b7698-4221-469e-9c91-e1a808accf3a","t0085869","Lyroda venusta taiwana","Animalia","Insecta","native","","","","","",NA,"infraspecies","Lyroda venusta taiwana","FALSE","FALSE","native","","","","Lyroda","venusta","taiwana","","","",TRUE,TRUE,TRUE,TRUE
"182d0ce2-0983-464a-ad11-1376ea51aca9","infraspecies","6714c104-e750-4936-8a75-3d0ba3430988","t0085923","Mimumesa vanlithi meridionalis","Animalia","Insecta","native","","","","","",NA,"infraspecies","Mimumesa vanlithi meridionalis","FALSE","FALSE","native","","","","Mimumesa","vanlithi","meridionalis","","","",TRUE,TRUE,TRUE,TRUE
"08a82213-2c56-4fcb-b50d-997283ab457f","infraspecies","c363cd1a-095c-46f3-b4c5-739a335247ef","t0085991","Nysson basalis taiwanus","Animalia","Insecta","native","","","","","",NA,"infraspecies","Nysson basalis taiwanus","FALSE","FALSE","native","","","","Nysson","basalis","taiwanus","","","",TRUE,TRUE,TRUE,TRUE
