"new_simple_name","kingdom","class","new_iucn"
"Avena fatua","Plantae","Magnoliopsida","LC"
"Avena sativa","Plantae","Magnoliopsida","DD"
"Axonopus scoparius","Plantae","Magnoliopsida","LC"
"Barringtonia asiatica","Plantae","Magnoliopsida","LC"
"Barringtonia racemosa","Plantae","Magnoliopsida","LC"
"Bauhinia purpurea","Plantae","Magnoliopsida","LC"
"Bauhinia variegata","Plantae","Magnoliopsida","LC"
"Beilschmiedia erythrophloia","Plantae","Magnoliopsida","LC"
"Beilschmiedia tsangii","Plantae","Magnoliopsida","LC"
"Bertholletia excelsa","Plantae","Magnoliopsida","VU"
"Bidens tripartita","Plantae","Magnoliopsida","LC"
"Bischofia javanica","Plantae","Magnoliopsida","LC"
"Blumea balsamifera","Plantae","Magnoliopsida","LC"
"Blyxa aubertii","Plantae","Magnoliopsida","LC"
"Blyxa japonica","Plantae","Magnoliopsida","LC"
"Bonnaya ciliata","Plantae","Magnoliopsida","LC"
"Bonnaya ruellioides","Plantae","Magnoliopsida","LC"
"Brachiaria mutica","Plantae","Magnoliopsida","LC"
"Brachiaria subquadripara","Plantae","Magnoliopsida","LC"
"Brasenia schreberi","Plantae","Magnoliopsida","LC"
"Brassica oleracea","Plantae","Magnoliopsida","DD"
"Breynia disticha","Plantae","Magnoliopsida","LC"
"Bridelia balansae","Plantae","Magnoliopsida","LC"
"Bridelia tomentosa","Plantae","Magnoliopsida","LC"
"Broussonetia papyrifera","Plantae","Magnoliopsida","LC"
"Brucea javanica","Plantae","Magnoliopsida","LC"
"Brugmansia suaveolens","Plantae","Magnoliopsida","EW"
"Buchanania arborescens","Plantae","Magnoliopsida","LC"
"Buddleja curviflora","Plantae","Magnoliopsida","CR"
"Bulbophyllum rubrolabellum","Plantae","Magnoliopsida","EN"
"Bulbophyllum tokioi","Plantae","Magnoliopsida","EN"
"Bulbostylis densa","Plantae","Magnoliopsida","LC"
"Caesalpinia bonduc","Plantae","Magnoliopsida","LC"
"Caesalpinia decapetala","Plantae","Magnoliopsida","LC"
"Caesalpinia pulcherrima","Plantae","Magnoliopsida","LC"
"Calanthe davidii davidii","Plantae","Magnoliopsida","LC"
"Calanthe triplicata","Plantae","Magnoliopsida","LC"
"Callerya nitida","Plantae","Magnoliopsida","LC"
"Callitriche palustris","Plantae","Magnoliopsida","LC"
"Camellia brevistyla","Plantae","Magnoliopsida","LC"
"Camellia caudata","Plantae","Magnoliopsida","LC"
"Camellia formosensis","Plantae","Magnoliopsida","VU"
"Camellia furfuracea","Plantae","Magnoliopsida","LC"
"Camellia japonica","Plantae","Magnoliopsida","LC"
"Camellia kissi","Plantae","Magnoliopsida","LC"
"Camellia salicifolia","Plantae","Magnoliopsida","LC"
"Camellia sinensis","Plantae","Magnoliopsida","DD"
"Camellia transarisanensis","Plantae","Magnoliopsida","VU"
"Camellia trichoclada","Plantae","Magnoliopsida","VU"
"Camphora micrantha","Plantae","Magnoliopsida","LC"
"Machilus philippinensis","Plantae","Magnoliopsida","LC"
"Canavalia rosea","Plantae","Magnoliopsida","LC"
"Capparis acutifolia","Plantae","Magnoliopsida","LC"
"Limnophila heterophylla","Plantae","Magnoliopsida","LC"
"Limnophila sessiliflora","Plantae","Magnoliopsida","LC"
"Heptapleurum ellipticum","Plantae","Magnoliopsida","LC"
"Heptapleurum taiwanianum","Plantae","Magnoliopsida","LC"
"Heptapleurum heptaphyllum","Plantae","Magnoliopsida","LC"
"Limnophila rugosa","Plantae","Magnoliopsida","LC"
"Sagittaria trifolia","Plantae","Magnoliopsida","LC"
"Hygrophila polysperma","Plantae","Magnoliopsida","LC"
"Acorus calamus","Plantae","Magnoliopsida","LC"
"Magnolia champaca","Plantae","Magnoliopsida","LC"
"Triglochin palustris","Plantae","Magnoliopsida","LC"
"Ficus benjamina","Plantae","Magnoliopsida","LC"
"Ficus caulocarpa","Plantae","Magnoliopsida","LC"
"Ficus fistulosa","Plantae","Magnoliopsida","LC"
"Ficus fistulosa benguetensis","Plantae","Magnoliopsida","LC"
"Ficus irisana","Plantae","Magnoliopsida","LC"
"Ficus nervosa","Plantae","Magnoliopsida","LC"
"Ficus pedunculosa mearnsii","Plantae","Magnoliopsida","LC"
"Ficus septica","Plantae","Magnoliopsida","LC"
"Ficus tinctoria","Plantae","Magnoliopsida","LC"
"Ficus virgata","Plantae","Magnoliopsida","LC"
"Vallisneria spiralis","Plantae","Magnoliopsida","LC"
"Vernicia fordii","Plantae","Magnoliopsida","LC"
"Vernicia montana","Plantae","Magnoliopsida","LC"
"Veronica peregrina","Plantae","Magnoliopsida","LC"
"Viburnum betulifolium","Plantae","Magnoliopsida","LC"
"Viburnum luzonicum","Plantae","Magnoliopsida","LC"
"Viburnum odoratissimum","Plantae","Magnoliopsida","LC"
"Viburnum sympodiale","Plantae","Magnoliopsida","LC"
"Vigna hosei","Plantae","Magnoliopsida","DD"
"Vigna luteola","Plantae","Magnoliopsida","LC"
"Vigna marina","Plantae","Magnoliopsida","LC"
"Vitex negundo","Plantae","Magnoliopsida","LC"
"Vitex trifolia","Plantae","Magnoliopsida","LC"
"Vitis vinifera","Plantae","Magnoliopsida","LC"
"Wendlandia formosana","Plantae","Magnoliopsida","LC"
"Wendlandia luzoniensis","Plantae","Magnoliopsida","LC"
"Wendlandia uvariifolia","Plantae","Magnoliopsida","LC"
"Wolffia arrhiza","Plantae","Magnoliopsida","LC"
"Xanthosoma sagittifolium","Plantae","Magnoliopsida","LC"
"Xylosma congesta","Plantae","Magnoliopsida","LC"
"Xyris indica","Plantae","Magnoliopsida","LC"
"Yoania japonica","Plantae","Magnoliopsida","LC"
"Yucca aloifolia","Plantae","Magnoliopsida","DD"
"Yucca gigantea","Plantae","Magnoliopsida","DD"
"Yucca filamentosa","Plantae","Magnoliopsida","LC"
