"taxonUUID","taxonRank","parentUUID","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","is_hybrid","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","corrected_iucn","corrected_redlistTW","corrected_protected","comparison_name","comparison_IUCN","comparison_redlistTW","comparison_protected"
"deec8490-0777-4853-8069-1b0fd60169e3","species","02b3468b-3a50-451f-b287-edc55a06c1dd","t0044216","Sterigmatobotrys uniseptata","Fungi","Sordariomycetes","native","","","","","",NA,"species","Sterigmatobotrys uniseptatus","FALSE","FALSE","native","","","","Sterigmatobotrys","uniseptatus",NA,"","","",FALSE,TRUE,TRUE,TRUE
"a5d8d265-2ff1-4f61-8522-ee9f6bf61257","species","1f990f65-b360-43c9-ab2c-2e7ec9b1917d","t0079448","Cosell falsus","Animalia","Arachnida","native","true","","","","",NA,"species","Cosella falsus","TRUE","FALSE","native","","","","Cosella","falsus",NA,"","","",FALSE,TRUE,TRUE,TRUE
"22cd7622-2a65-4084-a72c-87ecac96315a","species","1f990f65-b360-43c9-ab2c-2e7ec9b1917d","t0079449","Cosell kadsuriae","Animalia","Arachnida","native","true","","","","",NA,"species","Cosella kadsuriae","TRUE","FALSE","native","","","","Cosella","kadsuriae",NA,"","","",FALSE,TRUE,TRUE,TRUE
"53a80b03-a512-49d3-abb3-bf6ed0625dca","species","1f990f65-b360-43c9-ab2c-2e7ec9b1917d","t0079450","Cosell parvifloriae","Animalia","Arachnida","native","true","","","","",NA,"species","Cosella parvifloriae","TRUE","FALSE","native","","","","Cosella","parvifloriae",NA,"","","",FALSE,TRUE,TRUE,TRUE
"be1e131a-0f0a-4be6-afb9-2abda8a28eba","species","75f0abd1-97b6-4543-a45b-ab224bb92c2d","t0084237","Phthacarus clemens","Animalia","Arachnida","native","","","","","",NA,"species","Phthiracarus clemens","FALSE","FALSE","native","","","","Phthiracarus","clemens",NA,"","","",FALSE,TRUE,TRUE,TRUE
"73c4e94a-7ba8-4a9a-a950-0412281ff2f2","species","2e733415-0075-49ea-b5b1-1203b3d59efd","t0027314","Lariniaria argiopiformis","Animalia","Arachnida","native","","","","","",NA,"species","Larinia argiopiformis","FALSE","FALSE","native","","","","Larinia","argiopiformis",NA,"","","",FALSE,TRUE,TRUE,TRUE
"c38f0e4c-f986-43bc-be15-047a50bd49e3","species","d20f865f-92f1-4027-b466-9c56df747dc6","t0067609","Lipocrea fusiformis","Animalia","Arachnida","native","","","","","",NA,"species","Larinia fusiformis","FALSE","FALSE","native","","","","Larinia","fusiformis",NA,"","","",FALSE,TRUE,TRUE,TRUE
"dca7f9d6-781e-4445-abd9-587df5039c75","species","2dc6bbf3-1966-4a6a-b002-acc8d5aa1c9d","t0057753","Argyrodes miniaceus","Animalia","Arachnida","native","","","","","",NA,"species","Famakytta miniaceus","FALSE","FALSE","native","","","","Famakytta","miniaceus",NA,"","","",FALSE,TRUE,TRUE,TRUE
"57dc7b42-ee6d-4b2a-994a-fdc14c17de97","species","2dc6bbf3-1966-4a6a-b002-acc8d5aa1c9d","t0072216","Argyrodes lanyuensis","Animalia","Arachnida","native","true","","","","",NA,"species","Rhinoliparus lanyuensis","FALSE","FALSE","native","","","","Rhinoliparus","lanyuensis",NA,"","","",FALSE,TRUE,TRUE,TRUE
"f8f233cf-d4c5-4e92-865a-c654f0839246","species","0306f150-66ce-4566-9001-f4572df5fee8","t0078427","Chrysso trimaculata","Animalia","Arachnida","native","","","","","",NA,"species","Physcoa trimaculata","FALSE","FALSE","native","","","","Physcoa","trimaculata",NA,"","","",FALSE,TRUE,TRUE,TRUE
