"new_simple_name","taxon_id","kingdom","class","new_protected"
"Amentotaxus formosana","t0052582","Plantae","Pinopsida","1"
"Epilobium nankotaizanense","t0053540","Plantae","Magnoliopsida","1"
"Fagus hayatae","t0053677","Plantae","Magnoliopsida","1"
"Juniperus tsukusiensis taiwanensis","t0058103","Plantae","Pinopsida","1"
