"taxonUUID","taxonRank","parentUUID","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","is_hybrid","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","corrected_iucn","corrected_redlistTW","corrected_protected","comparison_name","comparison_IUCN","comparison_redlistTW","comparison_protected","iucn_sensitive","protected_sensitive","redlistTW_sensitive","sensitive_check"
"bd297b34-8b6a-4844-990a-290071b13e30","infraspecies","93e5e2c4-b205-46ed-b1a4-964d14ae2b93","t0084939","Papilio machaon sylvinus","Animalia","Insecta","native","","","CR","","輕度",NA,"infraspecies","Papilio machaon sylvina","FALSE","FALSE","native","","NCR","","Papilio","machaon","sylvina","","NCR","",FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
"3dfad919-1c28-4477-a4e2-f67be832b4f2","infraspecies","e55396c3-7ff9-472f-839e-b1fb1d06b4c2","t0029104","Eurema brigitta hainana","Animalia","Insecta","native","","","","","輕度",NA,"infraspecies","Eurema drona hainana","FALSE","FALSE","native","","NVU","","Eurema","drona","hainana","LC","NVU","",FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA
"1b97f4c9-1d7f-410e-acd5-1230cc66da6d","infraspecies","5d0847b6-4791-4048-b264-c6a4fe9a8667","t0084665","Aporia gigantea cheni","Animalia","Insecta","native","true","","","","輕度",NA,"infraspecies","Aporia kuangtungensis cheni","TRUE","FALSE","native","","NVU","","Aporia","kuangtungensis","cheni","","NVU","",FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
"79fc32d1-7b58-4750-9312-a38b9d7a2726","species","50e93b3f-af23-4fc3-aad3-a1f29e016061","t0055128","Rourea minor","Plantae","Spermatopsida","native","","","VU","","輕度",NA,"species","Santaloides minor","FALSE","FALSE","native","","NVU","","Santaloides","minor",NA,"","NVU","",FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
