"new_simple_name","taxon_id","kingdom","class","new_iucn","new_protected","new_redlistTW"
"Equisetum arvense","t0026355","Plantae","Polypodiopsida","LC",NA,NA
"Equisetum ramosissimum","t0026357","Plantae","Polypodiopsida","LC",NA,"LC"
"Psilotum nudum","t0026358","Plantae","Polypodiopsida","LC",NA,"LC"
"Vandenboschia maxima","t0026425","Plantae","Polypodiopsida","LC",NA,"LC"
"Dicranopteris linearis","t0026428","Plantae","Polypodiopsida","LC",NA,"LC"
"Lygodium microphyllum","t0026439","Plantae","Polypodiopsida","LC",NA,"VU"
"Azolla pinnata","t0026444","Plantae","Polypodiopsida","LC",NA,"DD"
"Salvinia cucullata","t0026445","Plantae","Polypodiopsida","LC",NA,NA
"Salvinia natans","t0026447","Plantae","Polypodiopsida","LC",NA,"CR"
"Cibotium barometz","t0026463","Plantae","Polypodiopsida","LC",NA,"LC"
"Acrostichum aureum","t0026490","Plantae","Polypodiopsida","LC",NA,"VU"
"Ceratopteris thalictroides","t0026491","Plantae","Polypodiopsida","LC",NA,"LC"
"Pteris vittata","t0026528","Plantae","Polypodiopsida","LC",NA,"LC"
"Bolbitis appendiculata","t0026613","Plantae","Polypodiopsida","LC",NA,"LC"
"Elaphoglossum angulatum","t0026620","Plantae","Polypodiopsida","DD",NA,"LC"
"Leptochilus decurrens","t0026835","Plantae","Polypodiopsida","LC",NA,"LC"
"Leptochilus pteropus","t0026842","Plantae","Polypodiopsida","LC",NA,"LC"
"Cyclosorus interruptus","t0026962","Plantae","Polypodiopsida","LC",NA,"NT"
"Cleistoblechnum eburneum","t0027053","Plantae","Polypodiopsida","VU",NA,"VU"
"Limnophila aromatica","t0027056","Plantae","Magnoliopsida","LC",NA,"VU"
"Nageia fleuryi","t0027057","Plantae","Pinopsida","NT",NA,NA
"Nageia nagi","t0027058","Plantae","Pinopsida","NT",NA,"EN"
"Podocarpus costalis","t0027059","Plantae","Pinopsida","EN",NA,"CR"
"Podocarpus fasciculus","t0027060","Plantae","Pinopsida","VU",NA,"VU"
"Podocarpus nakaii","t0027063","Plantae","Pinopsida","EN",NA,"EN"
"Deutzia pulchra","t0027066","Plantae","Magnoliopsida","LC",NA,"LC"
"Solanum insanum","t0033491","Plantae","Magnoliopsida","LC",NA,"VU"
"Eulophia graminea","t0033507","Plantae","Magnoliopsida","LC",NA,"NT"
"Eleocharis atropurpurea","t0033509","Plantae","Magnoliopsida","LC",NA,"EN"
"Cyperus procerus","t0033510","Plantae","Magnoliopsida","LC",NA,"NT"
"Zanthoxylum avicennae","t0033522","Plantae","Magnoliopsida","LC",NA,"VU"
"Abelmoschus moschatus","t0033541","Plantae","Magnoliopsida","LC",NA,NA
"Acacia confusa","t0033549","Plantae","Magnoliopsida","LC",NA,"LC"
"Acalypha caturus","t0033554","Plantae","Magnoliopsida","LC",NA,"LC"
"Acalypha suirenbiensis","t0033558","Plantae","Magnoliopsida","VU",NA,"DD"
"Acer albopurpurascens","t0033568","Plantae","Magnoliopsida","LC",NA,"LC"
