"taxonUUID","taxonRank","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","iucn_sensitive","protected_sensitive","redlistTW_sensitive","sensitive_check"
"f70b5c4f-b073-47c4-8ea5-a5489c5cf2e4","species","t0076951","Cacatua goffiniana","Animalia","Aves","non-native","","I","","NT","輕度","","species","Cacatua goffiniana","","non-native","NT","","I","Cacatua","goffiniana",NA,NA,"sensitive",NA,NA
"96d8481d-7748-4733-a64e-0e793321208f","species","t0076952","Cacatua moluccensis","Animalia","Aves","non-native","","I","","EN","輕度","","species","Cacatua moluccensis","","non-native","EN","","I","Cacatua","moluccensis",NA,"sensitive","sensitive",NA,NA
"32c10708-3ffd-4f51-8ac5-ea5d44fa62d0","species","t0099969","Anas crecca","Animalia","Aves","native","","","NNT","LC","輕度","2024-12-01","species","Anas crecca","","native","LC","NNT","","Anas","crecca",NA,NA,NA,NA,NA
"6cb7ef0f-2ef4-4cf6-b955-47778c9ee8fd","species","t0097608","Ceryle rudis","Animalia","Aves","native","","","NNT","LC","輕度","2024-12-01","species","Ceryle rudis","","native","LC","NNT","","Ceryle","rudis",NA,NA,NA,NA,NA
"6e241dcb-dca3-4fcd-9ea2-8a3546ffe925","species","t0078684","Clemmys guttata","Animalia","Reptilia","non-native","","","","EN","輕度","","species","Clemmys guttata","","non-native","EN","","","Clemmys","guttata",NA,"sensitive",NA,NA,NA
"3eaeb37f-ae03-4a8f-8fc5-5af6a39fd2b7","species","t0068358","Malaclemys terrapin","Animalia","Reptilia","non-native","","","","VU","輕度","","species","Malaclemys terrapin","","non-native","VU","","","Malaclemys","terrapin",NA,"sensitive",NA,NA,NA
"b09551a8-b711-4cde-bc58-444a41e633d7","species","t0027800","Mauremys japonica","Animalia","Reptilia","non-native","","II","","NT","輕度","","species","Mauremys japonica","","non-native","NT","","II","Mauremys","japonica",NA,NA,"sensitive",NA,NA
"d172ef75-341a-412e-a8c4-9aefbe0b9637","species","t0029303","Geochelone elegans","Animalia","Reptilia","non-native","","","","VU","輕度","","species","Geochelone elegans","","non-native","VU","","II","Geochelone","elegans",NA,"sensitive",NA,NA,NA
"23e7cfbb-7342-496e-8223-969a3790dd54","species","t0027104","Indotestudo elongata","Animalia","Reptilia","non-native","","","","CR","輕度","","species","Indotestudo elongata","","non-native","CR","","II","Indotestudo","elongata",NA,"sensitive",NA,NA,NA
"1b15da6b-2299-4647-b0cc-9b76d9bd5366","species","t0057082","Centrophorus granulosus","Animalia","Chondrichthyes","native","","","","DD","輕度","","species","Centrophorus granulosus","","native","DD","","","Centrophorus","granulosus",NA,NA,NA,NA,NA
"60d89991-2e5c-429c-b2c1-511d9010dfd5","species","t0029517","Haliotis rufescens","Animalia","Gastropoda","non-native","","","","CR","輕度","","species","Haliotis rufescens","","non-native","CR","","","Haliotis","rufescens",NA,"sensitive",NA,NA,NA
"61d564e6-d72c-403c-92a7-0d73607f37c7","species","t0069945","Acanthastrea hemprichii","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Acanthastrea hemprichii","","native","LC","","","Acanthastrea","hemprichii",NA,NA,NA,NA,NA
"2aea1fe1-c91c-4dec-8b3e-182a03098546","species","t0067778","Lobophyllia flabelliformis","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Lobophyllia flabelliformis","","native","LC","","","Lobophyllia","flabelliformis",NA,NA,NA,NA,NA
"d79e9aaf-0435-4549-9067-6ff9b05b4c1f","species","t0064195","Galaxea astreata","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Galaxea astreata","","native","LC","","","Galaxea","astreata",NA,NA,NA,NA,NA
"23fcb4b1-9b76-4f2e-a9fa-b8f576448571","species","t0070239","Acropora turaki","Animalia","Hexacorallia","non-native","","","","EN","輕度","","species","Acropora turaki","","non-native","EN","","","Acropora","turaki",NA,"sensitive",NA,NA,NA
