"taxonUUID","taxonRank","kingdom","class","simplifiedScientificName","new_redlistTW","redlistTW_date","source_process"
"32fe4ba9-89e8-4005-8f56-2610eccc1113","infraspecies","Animalia","Aves","Zosterops japonicus japonicus","NNT","2024-12-01","redlistTW_change_infrasp_output"
"9be63a32-1746-4a15-ade5-dee06b93d484","infraspecies","Animalia","Aves","Zosterops meyeni batanis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"126f6597-add8-4b99-a041-f76c2d00598c","infraspecies","Animalia","Aves","Delichon dasypus nigrimentale","NLC","2024-12-01","redlistTW_change_infrasp_output"
"6c5fa004-ddde-4f62-b52e-a6dc60773ebb","infraspecies","Animalia","Aves","Delichon dasypus dasypus","NLC","2024-12-01","redlistTW_change_infrasp_output"
"b52f9731-5587-47e2-8181-f5e4a10f789f","infraspecies","Animalia","Aves","Hirundo rustica gutturalis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"2a2aec93-ddad-4d8c-9a9b-f8a5e0d92350","infraspecies","Animalia","Aves","Hirundo rustica mandschurica","NLC","2024-12-01","redlistTW_change_infrasp_output"
"52c34a77-ee93-499c-92dc-a053c5049cc6","infraspecies","Animalia","Aves","Hirundo rustica tytleri","NLC","2024-12-01","redlistTW_change_infrasp_output"
"67f4b13c-b4da-4b62-9f05-bcd433c5cdd5","infraspecies","Animalia","Aves","Hirundo tahitica namiyei","NNT","2024-12-01","redlistTW_change_infrasp_output"
"0ec707fe-c1d1-479d-9f3a-dbb657fbfb21","infraspecies","Animalia","Aves","Hirundo tahitica javanica","NNT","2024-12-01","redlistTW_change_infrasp_output"
"96648456-b936-4603-a826-b9290f627dba","infraspecies","Animalia","Aves","Oriolus chinensis diffusus","NVU","2024-12-01","redlistTW_change_infrasp_output"
"58c022b9-5598-44ca-93c5-514bbf212e49","infraspecies","Animalia","Aves","Oriolus chinensis maculatus","NVU","2024-12-01","redlistTW_change_infrasp_output"
"0972fa7d-e0d8-4dbb-b0ec-34d296000059","infraspecies","Animalia","Aves","Passer cinnamomeus rutilans","NEN","2024-12-01","redlistTW_change_infrasp_output"
"2d6dd3dd-f84a-4a5d-931c-46ebd54602d5","infraspecies","Animalia","Aves","Accipiter gularis gularis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"a04e4fd0-703a-418e-8aa7-2948c0d0468d","infraspecies","Animalia","Aves","Milvus migrans formosanus","NVU","2024-12-01","redlistTW_change_infrasp_output"
"869544b3-aede-40ef-bec8-a2f05484b9e3","infraspecies","Animalia","Aves","Milvus migrans lineatus","NVU","2024-12-01","redlistTW_change_infrasp_output"
"40599ff4-51f0-4de9-8dcf-bc1d952904ca","infraspecies","Animalia","Aves","Pernis ptilorhynchus orientalis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"d0abbcfa-96bf-4fbd-b886-d153129c608d","infraspecies","Animalia","Aves","Calidris alpina sakhalina","NLC","2024-12-01","redlistTW_change_infrasp_output"
"31489785-e1f8-416c-b065-c4fe655db2e6","infraspecies","Animalia","Aves","Calidris alpina actites","NLC","2024-12-01","redlistTW_change_infrasp_output"
"1ea9b5d3-e569-4790-8637-a7a0c99521a5","infraspecies","Animalia","Aves","Calidris alpina arcticola","NLC","2024-12-01","redlistTW_change_infrasp_output"
"e3c6f6c3-a25c-4403-bb06-56ebe6b6a785","infraspecies","Animalia","Aves","Calidris canutus rogersi","NVU","2024-12-01","redlistTW_change_infrasp_output"
"9a4a5a63-8411-42ab-a955-451dadfbb1bf","infraspecies","Animalia","Aves","Calidris canutus piersmai","NVU","2024-12-01","redlistTW_change_infrasp_output"
"d1a7c39c-4e12-4bd8-b5a6-2fd344dfb35c","infraspecies","Animalia","Aves","Calidris falcinellus sibirica","NLC","2024-12-01","redlistTW_change_infrasp_output"
"3e9c051c-f9ba-4590-a1a5-7e3cd6982153","infraspecies","Animalia","Aves","Numenius arquata orientalis","NVU","2024-12-01","redlistTW_change_infrasp_output"
"5c70916f-eae3-4a5b-b704-d15eac6814bb","infraspecies","Animalia","Aves","Tringa totanus ussuriensis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"73c672dc-62a0-4f7a-9348-8aa8b8c80b8d","infraspecies","Animalia","Aves","Tringa totanus terrignotae","NLC","2024-12-01","redlistTW_change_infrasp_output"
"82dcdb31-782c-4dc4-a926-9c53011a355e","infraspecies","Animalia","Aves","Limosa lapponica baueri","NVU","2024-12-01","redlistTW_change_infrasp_output"
"e19ce850-d71b-4fd8-95cf-15ee3fc6f6b1","infraspecies","Animalia","Aves","Limosa lapponica menzbieri","NVU","2024-12-01","redlistTW_change_infrasp_output"
"27ef84d3-276c-4db8-ad62-e2875294e863","infraspecies","Animalia","Aves","Limosa limosa melanuroides","NVU","2024-12-01","redlistTW_change_infrasp_output"
"a71fad2a-1d85-42b3-8928-4d34884c0f01","infraspecies","Animalia","Aves","Arenaria interpres interpres","NNT","2024-12-01","redlistTW_change_infrasp_output"
"1db755b9-2339-4744-a2c7-ef3019f77592","infraspecies","Animalia","Aves","Sterna dougallii bangsi","NLC","2024-12-01","redlistTW_change_infrasp_output"
"598c1cc9-dd96-48c4-bb9d-eb13b0346b1d","infraspecies","Animalia","Aves","Sterna hirundo longipennis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"cbae67b4-4ddb-4724-b67e-5beea51555e6","infraspecies","Animalia","Aves","Sterna hirundo minussensis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"1db8ec83-1bef-462d-88cd-204ed3de3447","infraspecies","Animalia","Aves","Sterna sumatrana sumatrana","NLC","2024-12-01","redlistTW_change_infrasp_output"
"cf6fced1-854c-40ff-9732-02864e309051","infraspecies","Animalia","Aves","Sternula albifrons sinensis","NNT","2024-12-01","redlistTW_change_infrasp_output"
"ee0c66fd-cf31-469d-a940-b0c735f3b6c2","infraspecies","Animalia","Aves","Charadrius alexandrinus alexandrinus","NLC","2024-12-01","redlistTW_change_infrasp_output"
"c7ada981-98d6-4eaf-9387-ec6dea18b2d6","infraspecies","Animalia","Aves","Charadrius mongolus mongolus","NLC","2024-12-01","redlistTW_change_infrasp_output"
"61994044-0057-476f-b522-3747c1195df7","infraspecies","Animalia","Aves","Charadrius mongolus stegmanni","NLC","2024-12-01","redlistTW_change_infrasp_output"
"a287c39c-b311-4920-a675-1a3df2d2d050","infraspecies","Animalia","Aves","Anas crecca crecca","NNT","2024-12-01","redlistTW_change_infrasp_output"
"57f41bd8-7220-4565-b0be-61287c345a9c","infraspecies","Animalia","Aves","Butorides striata carcinophila","NLC","2024-12-01","redlistTW_change_infrasp_output"
"b3fe83b7-cefd-4c92-8cf2-453667144767","infraspecies","Animalia","Aves","Butorides striata amurensis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"ccd6d3cc-7649-4c3d-aee5-7d2832422025","infraspecies","Animalia","Aves","Butorides striata actophila","NLC","2024-12-01","redlistTW_change_infrasp_output"
"06fe9af4-3836-4403-9149-973364216db0","infraspecies","Animalia","Aves","Streptopelia tranquebarica humilis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"80f016bc-a3d2-4afd-865e-d5d8ce4c2968","infraspecies","Animalia","Aves","Ptilinopus leclancheri longialis",NA,"2024-12-01","redlistTW_change_infrasp_output"
"4803633b-b356-4c03-b51c-ace12ce134a5","infraspecies","Animalia","Aves","Falco peregrinus calidus","NNT","2024-12-01","redlistTW_change_infrasp_output"
"aec32b68-fdd9-4690-b46c-27ad42ac9740","infraspecies","Animalia","Aves","Falco peregrinus peregrinator","NNT","2024-12-01","redlistTW_change_infrasp_output"
"c9905aae-419e-4df0-8439-524a879f0682","infraspecies","Animalia","Aves","Falco peregrinus japonensis","NNT","2024-12-01","redlistTW_change_infrasp_output"
"523d5290-4e64-477b-bc07-d49f20739f87","infraspecies","Animalia","Aves","Falco peregrinus ernesti","NNT","2024-12-01","redlistTW_change_infrasp_output"
"09cc20c4-5f37-4d4e-a770-472d2feab64f","infraspecies","Animalia","Aves","Falco tinnunculus tinnunculus","NVU","2024-12-01","redlistTW_change_infrasp_output"
"7568befd-24c8-4d55-bd00-086775d70e9a","infraspecies","Animalia","Aves","Falco tinnunculus interstinctus","NVU","2024-12-01","redlistTW_change_infrasp_output"
"4cfba5a4-239e-4ee2-b571-6cfe34693916","infraspecies","Animalia","Aves","Halcyon coromanda major","NLC","2024-12-01","redlistTW_change_infrasp_output"
"b511b104-4a0a-4d15-a398-1a80e43f13b7","infraspecies","Animalia","Aves","Halcyon coromanda bangsi","NLC","2024-12-01","redlistTW_change_infrasp_output"
"6b8afb68-66ae-4ae9-9b10-93375cbeec58","infraspecies","Animalia","Aves","Apus pacificus pacificus","NLC","2024-12-01","redlistTW_change_infrasp_output"
"25cc7f50-0fc6-40be-989c-fb02a234792d","infraspecies","Animalia","Aves","Apus pacificus kurodae","NLC","2024-12-01","redlistTW_change_infrasp_output"
"cada44ce-c5d7-4a2c-a2d4-7a4372b61898","infraspecies","Animalia","Aves","Ninox japonica japonica","NLC","2024-12-01","redlistTW_change_infrasp_output"
"95977a32-ea9f-4ef3-aeb8-89c248bce464","infraspecies","Animalia","Aves","Otus sunia japonicus","NNT","2024-12-01","redlistTW_change_infrasp_output"
"291b013a-a0fa-4e88-9478-940173828f24","infraspecies","Animalia","Aves","Otus sunia stictonotus","NNT","2024-12-01","redlistTW_change_infrasp_output"
"6b8b34db-0a58-4e29-90a1-006d26eb216c","infraspecies","Animalia","Aves","Picus canus tancolo","NVU","2024-12-01","redlistTW_change_infrasp_output"
