"taxonUUID","taxonRank","kingdom","class","simplifiedScientificName","new_redlistTW","redlistTW_date","source_process"
"07d00afd-5120-4bf1-9baa-7a2f019b05e6","infraspecies","Animalia","Aves","Chloris sinica kawarahiba","NLC","2024-12-01","redlistTW_change_infrasp_output"
"3c1a7e15-85f9-4e3c-8c64-f0b647715d7a","infraspecies","Animalia","Aves","Chloris sinica sinica","NLC","2024-12-01","redlistTW_change_infrasp_output"
"888cfe35-ff7a-42b5-82a6-85da821b2c09","infraspecies","Animalia","Aves","Anthus hodgsoni hodgsoni","NLC","2024-12-01","redlistTW_change_infrasp_output"
"53ed2593-30f2-4b5d-9abd-4500007cfb08","infraspecies","Animalia","Aves","Anthus hodgsoni yunnanensis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"42914914-e05d-4b5d-ae0c-f811b8a4690c","infraspecies","Animalia","Aves","Anthus richardi dauricus","NLC","2024-12-01","redlistTW_change_infrasp_output"
"51b9a226-1276-49d2-af6c-f86d56bc78cb","infraspecies","Animalia","Aves","Anthus richardi ussuriensis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"4c55ba23-9205-47ed-a9e2-868a312c96bc","infraspecies","Animalia","Aves","Motacilla alba lugens","NLC","2024-12-01","redlistTW_change_infrasp_output"
"07a3a833-0a34-45f4-895f-8b20884c129f","infraspecies","Animalia","Aves","Motacilla alba leucopsis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"e483cb27-8ee7-4c45-8788-48a5947f1363","infraspecies","Animalia","Aves","Motacilla alba ocularis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"08f25909-8a0a-4ec7-810f-eb1db1ac4184","infraspecies","Animalia","Aves","Motacilla alba baicalensis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"a1100897-c944-4066-a88d-3d086a21b1f0","infraspecies","Animalia","Aves","Motacilla alba dukhunensis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"7a1e7ef8-f28d-43d1-97b7-c95dc275b04d","infraspecies","Animalia","Aves","Calliope calliope camtschatkensis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"ef8db97c-61fb-4655-b57e-f0357f1fda5c","infraspecies","Animalia","Aves","Calliope calliope calliope","NLC","2024-12-01","redlistTW_change_infrasp_output"
"0e91b442-5f18-4a05-a6cc-a0df429a1351","infraspecies","Animalia","Aves","Emberiza spodocephala spodocephala","NLC","2024-12-01","redlistTW_change_infrasp_output"
"a86417d4-9eac-4c76-95f0-db730bc71f85","infraspecies","Animalia","Aves","Emberiza spodocephala sordida","NLC","2024-12-01","redlistTW_change_infrasp_output"
"9830adf2-86ce-4471-9b22-d6df1ad24538","infraspecies","Animalia","Aves","Lonchura atricapilla formosana","NVU","2024-12-01","redlistTW_change_infrasp_output"
"9d228fcf-9b97-4431-be6b-9dc500323656","infraspecies","Animalia","Aves","Zoothera aurea aurea","NLC","2024-12-01","redlistTW_change_infrasp_output"
"afcba86e-e370-45fc-9b98-4feb057b5330","infraspecies","Animalia","Aves","Zoothera aurea toratugumi","NLC","2024-12-01","redlistTW_change_infrasp_output"
"d07b2dc5-4fca-427f-9eb5-4d858a6c6884","infraspecies","Animalia","Aves","Horornis canturians canturians","NLC","2024-12-01","redlistTW_change_infrasp_output"
"79640da4-bfb3-4cc9-abea-76fe46c312a3","infraspecies","Animalia","Aves","Lanius cristatus cristatus","NLC","2024-12-01","redlistTW_change_infrasp_output"
"ba893bc3-208f-4e36-9042-5b5c5e5768f3","infraspecies","Animalia","Aves","Lanius cristatus lucionensis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"39d5f3f0-4491-4623-94ce-0f60f0c8aed3","infraspecies","Animalia","Aves","Lanius cristatus confusus","NLC","2024-12-01","redlistTW_change_infrasp_output"
"917e2adf-6a26-4621-887a-8cdee1e3e24e","infraspecies","Animalia","Aves","Lanius cristatus superciliosus","NLC","2024-12-01","redlistTW_change_infrasp_output"
"715e85f6-310c-4537-98a4-8a1e2c525210","infraspecies","Animalia","Aves","Lanius schach schach","NVU","2024-12-01","redlistTW_change_infrasp_output"
"c1221dfa-f1a5-4c4f-8803-788a2ddd353b","infraspecies","Animalia","Aves","Helopsaltes ochotensis ochotensis","NLC","2024-12-01","redlistTW_change_infrasp_output"
"3a66f27f-b957-4abb-8df3-f4eb7b03fde2","infraspecies","Animalia","Aves","Helopsaltes ochotensis subcerthiola","NLC","2024-12-01","redlistTW_change_infrasp_output"
"12f55031-e66e-40df-8171-03a4064270ac","infraspecies","Animalia","Aves","Hypsipetes amaurotis harterti",NA,"2024-12-01","redlistTW_change_infrasp_output"
