"new_simple_name","kingdom","class","new_protected"
"Amentotaxus formosana","Plantae","Pinopsida","1"
"Epilobium nankotaizanense","Plantae","Magnoliopsida","1"
"Fagus hayatae","Plantae","Magnoliopsida","1"
"Juniperus chinensis taiwanensis","Plantae","Pinopsida","1"
